RBC_COD_ACT;RBC_LIB_ACT;TEC_COL
PO3;PRELEVEMENT D'ORGANE 3;0
POC;PROTHESE OCULAIRE;0
POS;INDEMNITE JOURNALIERE POST-NATALE + ou - 3 MOIS;0
PPC;APPAREILLAGE VENTILATION PPC;0
PRA;*PRODUIT RADIOPH.;0
PRD;PERMANENCE REMUNERATION  DIMANCHE ET FERIE;0
PRE;INDEMNITE JOURNALIERE PRE-NATALE + ou - 3 MOIS;0
PRM;PERMANENCE REMUNERATION  MILIEU DE NUIT;0
PRN;PERMANENCE REMUNERATION DE NUIT;0
A;FORFAIT ACCOUCHEMENT SIMPLE;0
A   F;FORFAIT ACCOUCHEMENT FERIE;0
A   N;FORFAIT ACCOUCHEMENT NUIT;0
AAD;AUTRES ACC. TRAIT. A DOM.;0
AAF;AIDE FINANCIERE INDIVIDUELLE AUTRE;0
AAR;APP. ASSIS. RESPIRATOIRE;0
ABA;AMBULANCES AGREEES;0
ABG;AMBULANCES AGREEES DE GARDE;0
ACC;ACOMPTE SUR PRESTATIONS;0
ACO;ACTES D'OBSTETRIQUE -CCAM-;0
ADA;ACTES D'ANESTHESIE -CCAM-;0
ADC;ACTES DE CHIRURGIE  -CCAM-;0
ADE;ACTES ECHOGRAPHIE -CCAM-;0
ADI;ACTES D'IMAGERIE (hors échograhie) -CCAM-;0
ADO;CONGE D'ADOPTION + ou - 3 MOIS;0
ADP;ACTES DIVERS PROTHESE DENTAIRE -CCAM-;0
ADT;AIDE AU DEMARRAGE A LA TELETRANSMISSION;0
AFA;AIDE FAMILIALE -CNMSS-;0
AFI;AIDE FINANCIERE INDIVIDUELLE AUX POPULATIONS EN MARGE CMU;0
AFM;AIDE MENAGERE .FAMILIALE -CNMSS-;0
AIM;AIDE MENAGERE -( initialementspécifique à la CNMSS);0
AIS N;ACTES INFIRMIERS DE SOINS;0
AIS;ACTES INFIRMIERS DE SOINS;0
AIS F;ACTES INFIRMIERS DE SOINS FERIE;0
AM  N;FORFAIT ACCOUCHEMENT MULTIPLE NUIT;0
AM  F;FORFAIT ACCOUCHEMENT MULTIPLE FERIE;0
AM;FORFAIT ACCOUCHEMENT MULTIPLE;0
AMC N;ACTES DE  KINE. EN ETABLISSEMENT NUIT;0
AMC F;ACTES DE  KINE. EN ETABLISSEMENT FERIE;0
AMC;ACTES DE  KINE. EN ETABLISSEMENT;0
AMD;INTERVENTION+ANESTHESIE DUREE<OU=12;0
AMF;FORFAIT PUBLIC IVG MEDICAMENTEUSE;0
AMI F;SOINS INFIRMIERS FERIE;0
AMI;SOINS INFIRMIERS;0
AMI N;SOINS INFIRMIERS NUIT;0
AMK;ACTES DE  KINESITHERAPIE;0
ATM;ACTES TECHNIQUES MEDICAUX (hors imagerie)  -CCAM-;0
ATP;AUTRES MOYENS DE TRANSPORT;0
ATU;FORFAIT D'ACCUEIL ET DE TRAITEMENT DES URGENCES;0
AUA;APPAREIL AUDITIF POUR ADULTES -CRPCEN-;0
AUP;PILES -CRPCEN-;0
AUT;FRAIS D'AUTOPSIE;0
AXI;PROPHYLAXIE  BUCCO-DENTAIRE -CCAM-;0
B;ACTES DE BIOLOGIE;0
B   N;ACTES DE BIOLOGIE;0
B   F;ACTES DE BIOLOGIE;0
BD2;CAMPAGNES BUCCO-DENTAIRES LOCALES (CRPCEN-CAVIMAC);0
BD3;FRAIS DE LECTURE POUR MAMMOGRAHIE(CRPCEN-CAVIMAC);0
BD4;DEPISTAGE DU CANCER COLO-RECTAL(CRPCEN-CAVIMAC);0
BD5;AUTRES ACTIONS COLLECTIVES DE PREVENTION(CRPCEN-CAVIMAC);0
BDC;BUCCO-DENTAIRE CONSULTATION;0
BDS;BILAN DE SANTE -CRPCEN-;0
BP  N;ACTES DE BIOLOGIE PATHOLOGIE;0
BP  F;ACTES DE BIOLOGIE PATHOLOGIE;0
FST;FRAIS SALLE TRAVAIL ACC. SIMPLE;0
FST F;FRAIS SALLE TRAVAIL ACC. SIMPLE;0
FST N;FRAIS SALLE TRAVAIL ACC. SIMPLE;0
FSY;FRAIS SECURITE ANESTHESIE;0
FTC;FORFAIT TRAITEMENT CHIR.CARDIAQUE;0
FTG;FORFAIT TECHNIQUE GLOBAL;0
FTH;FORFAIT BASE ETABLIS.THERMAL;0
FTN;FORFAIT TECHNIQUE TARIF NORMAL;0
FTO;FORFAIT TRANSPLANTATION ORGANES;0
FTR;FORFAIT TECHNIQUE TARIF REDUIT;0
FTS;FORFAIT TECHNIQUE SCANNER (SPP expo.risque amiante);0
FUN;FRAIS FUNERAIRES;0
G1;TARIF SOINS GIR 1 et 2;0
G2;TARIF SOINS GIR 3 et 4;0
G3;TARIF SOINS GIR 5 et 6;0
GA;GRAND APPAREILLAGE;0
GHS;FRAIS D'HEBERGEMENT ET DE SOINS;0
GHT;GROUPE HOMOGENE DE TARIFS;0
GLU;NUTRIMENTS POUR INTOLER. AU GLUTEN;0
HAD;GARDE A DOMICILE EN HAD;0
HAT;AIDE A  LA DEAMBULATION ET AUX TRANSPORTS;0
HAU;AUTRE TYPE D'AIDE;0
HCM;HONORAIRES COLLEGE 3 MEDECINS;0
HCO;AIDE A LA COMMUNICATION;0
HD1;SOINS PREVENTION DENTAIRE -M.S.A-;0
HD2;SOINS PREVENTION DENTAIRE -M.S.A-;0
HD3;SOINS PREVENTION DENTAIRE -M.S.A-;0
AMK F;ACTES DE  KINESITHERAPIE FERIE;0
AMK N;ACTES DE  KINESITHERAPIE NUIT;0
AMO;ORTHOPHONIE;0
AMP;PEDICURIE;0
AMP F;PEDICURIE FERIE;0
AMP N;PEDICURIE NUIT;0
AMS;ACTES DE KINESITHERAPIE  OSTEO-ARTICULAIRE;0
AMS F;ACTES DE KINESITHERAPIE  OSTEO-ARTICULAIRE FERIE;0
AMS N;ACTES DE KINESITHERAPIE  OSTEO-ARTICULAIRE NUIT;0
AMT;AIDE MAINTENANCE A LA TELETRANSMISSION;0
F15;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
FA1;FORFAIT D'ACCUEIL DU PATIENT (NO 1);0
FA2;FORFAIT D'ACCUEIL DU PATIENT (NO 2);0
FAM;ALLOCATIONS VACANCES -CRPCEN-;0
FAU;FORFAIT ANNUEL D'URGENCE;0
FC0;FORFAIT DE COORDINATION -DEXTER-;0
FC1;FORFAIT DE COORDINATION -DEXTER-;0
FC2;FORFAIT DE COORDINATION -DEXTER-;0
FC3;FORFAIT DE COORDINATION -DEXTER-;0
FC4;FORFAIT DE COORDINATION -DEXTER-;0
FC5;FORFAIT DE COORDINATION -DEXTER-;0
FC6;FORFAIT DE COORDINATION -DEXTER-;0
FC7;FORFAIT DE COORDINATION -DEXTER-;0
FC8;FORFAIT DE COORDINATION -DEXTER-;0
FC9;FORFAIT DE COORDINATION -DEXTER-;0
FCJ;FORFAIT JOURNALIER CHIR.CARDIAQUE;0
FCO;FORFAIT CONSOMMABLE ONEREUX (CARDIOLOGIE);0
FCS;FORFAIT STRUCTURE  CENTRE DE SANTE;0
FDA;FORFAIT PROTHESE ADJOINTE (CMU);0
FDC;FORFAIT PROTHESE CONJOINTE (CMU);0
FDI;FORFAITS DIVERS -DEXTER-;0
FDO;FORFAIT ORTHODONTIE (CMU);0
FDR;REPARATION (CMU);0
FE  N;FRAIS DE SECURITE ET D'ENVIRONNEMENT NUIT;0
FE  F;FRAIS DE SECURITE ET D'ENVIRONNEMENT FERIE;0
FE;FRAIS DE SECURITE ET D'ENVIRONNEMENT;0
FED;FOURNITURES EQUIPEMENTS DEROGATOIRES -DEXTER-;0
FET;FORFAIT D'EDUCATION THERAPEUTIQUE ET INTERESSEMENT -DEXTER-;0
FF0;FORFAIT DE FORMATION -DEXTER-;0
FF1;FORFAIT DE FORMATION -DEXTER-;0
FF2;FORFAIT DE FORMATION -DEXTER-;0
FF3;FORFAIT DE FORMATION -DEXTER-;0
FF4;FORFAIT DE FORMATION -DEXTER-;0
FF5;FORFAIT DE FORMATION -DEXTER-;0
CSL;FORFAIT CONTRAT DE SANTE PUBLIQUE BIOLOGISTE;0
CST;CONVENTION SURVEILLANCE THERMALE;0
CTH;COMPLEMENT AU FORFAIT THERMAL;0
CUM;INDEMNITE JOURNALIERE CURE MAJOREE - 3 MOIS;0
CUN;INDEMNITE JOURNALIERE CURE NORMALE - 3 MOIS;0
CUR;INDEMNITE JOURNALIERE CURE REDUITE - 3 MOIS;0
D;ACTES CHIRURGIE DENTAIRE / DENTISTE;0
D   N;ACTES CHIRURGIE DENTAIRE / DENTISTE;0
D   F;ACTES CHIRURGIE DENTAIRE / DENTISTE;0
D01;HEMODIALYSE EN CENTRE;0
D02;HEMODIALYSE EN CENTRE POUR ENFANTS;0
D03;HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE;0
D04;AUTODIALYSE SIMPLE;0
D05;AUTODIALYSE ASSISTEE;0
D06;HEMODIALYSE A DOMICILE;0
D07;DIALYSE PERITONEALE AUTOMATISEE (DPA);0
D08;DIALYSE PERITONEALE CONTINUE AMBULATOIRE (DPCA);0
D09;FORFAIT HEMODIALYSE EN CENTRE;0
D10;FORFAIT HEMODIALYSE EN CENTRE POUR ENFANT;0
D11;FORFAIT HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE;0
D12;FORFAIT AUTODIALYSE SIMPLE;0
D13;FORFAIT AUTODIALYSE ASSISTEE;0
D14;FORFAIT HEMODIALYSE A DOMICILE;0
D15;FORFAIT DE DIALYSE PERITONEALE AUTOMATISEE (DPA);0
D16;FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE;0
HN;ACTE HORS NOMENCLATURE;0
HNN;HOSPITALISATION NOUVEAUNE AVEC MERE;0
HS;HONORAIRES DE SURVEILLANCE;0
HTH;FORFAIT HEBERGEMENT CURE THERMALE;0
HUM;AUTRES PRODUITS ORIGINE HUMAINE;0
IC;CONSULTATION GENERALISTE IVG;0
ICE;INDEM.POUR CHANG.D'EMPLOI(SILICOSE);0
ICR;INDEMNITE COMPLEMENT. REEDUCATION;0
ICS;CONSULTATION SPECIALISTE IVG;0
ID;INDEMNITE DE DEPLACEMENT;0
IF;INDEM.FORFAITAIRE DEPLACEMENT;0
IFA;INDEM.FORFAITAIRE DEPLACEMENT AM;0
IG;INTERVENTION IVG;0
IGA;ANESTHESIE IVG;0
IGB;INVESTIGATIONS BIOLOGIQUES;0
IGM;MIFEGYNE - PHARMACIE IVG;0
IGP;PROSTAGLANDINES - PHARMACIE IVG;0
IJC;IJ CARENCE -CRPCEN-;0
VNP;VISITE NEUROPSYCHIATRE;0
VNP F;VISITE NEUROPSYCHIATRE FERIE;0
VNP N;VISITE NEUROPSYCHIATRE NUIT;0
VOY;Frais transport pour colonies -CRPCEN-;0
VP;VEHICULE PARTICULIER;0
VRD;MAJORATION VISITE REGULEE DIMANCHE ET FERIE;0
VRM;MAJORATION VISITE REGULEE MILIEU DE NUIT;0
