AUT_COD;AUT_LIB;TEC_COL
00;sans objet;2
01;Réanimation;0
02;Soins Intensifs;0
03;Surveillance Continue;0
04;Néonatalogie sans soins intensifs (type 2A);0
05;Néonatalogie avec soins intensifs (type 2B);0
06;Néonatalogie et réanimation périnatale (type 3);0
07;Zone de surveillance de courte durée;0
08;Soins Palliatifs;0
11;Anesthésie ou chirurgie ambulatoire;0
12;Hospitalisation à temps partiel de jour ou de nuit;0
13;Réanimation pédiatrique;0
14;Surveillance continue pédiatrique;0
15;Clinique ouverte;0
21;Centre d'hémodialyse;0
22;Centre d'hémodialyse pour enfant;0
23;Unité d'hémodialyse médicalisée;0
99;valeur inconnue;1
