CDM_COD;CDM_LIB;TEC_COL
A491;** SU95 ** ACTE SUPPRIME ** (CAROTIDE PRIMITIVE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - COEUR, COU ET CAGE THORACIQUE - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A492;** SU95 ** ACTE SUPPRIME ** (TRONC BRACHIO-CEPHALIQUE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - MEMBRE SUPERIEUR - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A493;** SU95 ** ACTE SUPPRIME ** (SOUS-CLAVIERE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - CRANE, CONTENU ET MASSIF FACIAL - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A494;TOMOGRAPHIES CLASSIQUES : 1 INCIDENCE ET JUSQU'A 5 COUPES - CRANE, CONTENU ET MASSIF FACIAL;0
A495;** SU95 ** ACTE SUPPRIME ** (SOUS-CLAVIERE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - RACHIS ET CONTENU - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A496;** SU95 ** ACTE SUPPRIME ** (SOUS-CLAVIERE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - COEUR, COU ET CAGE THORACIQUE - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A497;** SU95 ** ACTE SUPPRIME ** (SOUS-CLAVIERE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - POUMON ET MEDIASTIN - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A146;PIED : INCIDENCES SPECIALES ISOLEES (CALCANEUM, ORTEIL, ETC...);0
A147;PODOMETRIE;0
A148;RADIOGRAPHIE D'UN MEMBRE INFERIEUR OU DES MEMBRES INFERIEURS EN TOTALITE CHEZ L'ENFANT : 1 INCIDENCE;0
A149;TELERADIOGRAPHIE DES MEMBRES INFERIEURS EN TOTALITE;0
A150;RADIOMENSURATION DES MEMBRES INFERIEURS;0
A151;** SU95 ** ACTE SUPPRIME ** (AGE OSSEUX - MEMBRE INFERIEUR - RADIOGRAPHIES STANDARD);0
A152;** SU95 ** ACTE SUPPRIME ** (TELE-RADIOGRAPHIE DES MEMBRES SUPERIEURS EN TOTALITE - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A153;CRANE : 3 INCIDENCES ET PLUS;0
A154;** SU95 ** ACTE SUPPRIME ** (RADIOGRAPHIE DU SQUELETTE ENTIER);0
A524;EMBOLISATION DES TUMEURS VASCULAIRES PAR PONCTION DIRECTE - CRANE, CONTENU ET MASSIF FACIAL;0
A672;CATHETERISME ARTERIEL PAR SONDE GUIDEE, SELECTIF - 3 AXES ET PLUS : TRONC BRACHIO-CEPHALIQUE, CAROTIDE PRIMITIVE, SOUS-CLAVIERE, VERTEBRALE, CAROTIDE EXTERNE, INTERCOSTALE, LOMBAIRE ET AUTRES SELECTIVES - RACHIS ET CONTENU;0
A208;** S>85 ** ACTE SUPPRIME ** (INCIDENCES SPECIALES AUTRES : CC : T);0
A209;** SU95 ** ACTE SUPPRIME ** (CRANE - CRANE, CONTENU ET MASSIF FACIAL - TOMOGRAPHIES);0
A210;** S>85 ** ACTE SUPPRIME ** (MF : (Y COMPRIS ORBITES ET/OU SINUS) FP : T);0
A211;** S>85 ** ACTE SUPPRIME ** (MF : (Y COMPRIS ORBITES ET/OU SINUS) F : T);0
A212;** S>85 ** ACTE SUPPRIME ** (MF : (Y COMPRIS ORBITES ET/OU SINUS) P : T);0
A373;** S>85 ** ACTE SUPPRIME ** (MISE EN PLACE D'UNE ENDOPROTHESE : TD (EXCLUE TOUT AUTRE CODE));0
A374;FIBRINOLYSE IN SITU - TRACTUS DIGESTIF;0
A375;CHIMIOTHERAPIE IN SITU - TRACTUS DIGESTIF;0
A376;** S>85 ** ACTE SUPPRIME ** (DRAINAGE D'ABCES SOUS CONTROLE D'UNE TECHNIQUE D'IMAGERIE : TD);0
A377;** SU?? ** ACTE SUPPRIME. CONSULTEZ LE CDAM **;0
A378;DRAINAGE DE COLLECTION SOUS SCANOGRAPHIE - CRANE, CONTENU ET MASSIF FACIAL;0
A379;TELECRANE A 3 METRES : 3 INCIDENCES ET PLUS;0
A380;ANGIOPLASTIE ARTERIELLE - TRACTUS GENITO-URINAIRE;0
A381;EMBOLISATION ARTERIELLE - TRACTUS GENITO-URINAIRE;0
A382;EMBOLISATION VEINEUSE - TRACTUS GENITO-URINAIRE;0
A383;** S>85 ** ACTE SUPPRIME ** (PONCTION DIAGNOSTIQUE : RETRO PERITONEALE);0
A384;** S>85 ** ACTE SUPPRIME ** (PONCTION BIOPSIQUE : RETRO PERITONEALE);0
A385;** S>85 ** ACTE SUPPRIME ** (PONCTION THERAPEUTIQUE : RETRO PERITONEALE);0
A386;** S>85 ** ACTE SUPPRIME ** (DRAINAGE DES VOIES URINAIRES (EXCLUE TOUT AUTRE CODE));0
A387;** S>85 ** ACTE SUPPRIME ** (MISE EN PLACE D'UN ENDO-PROTHESE : TGU (EXCLUE TOUT AUTRE CODE));0
A388;DILATATION ENDO-URETRALE;0
A155;** SU95 ** ACTE SUPPRIME ** (EPAULE FACE ET ROTATION - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A156;** SU95 ** ACTE SUPPRIME ** (EPAULE FACE - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A157;** SU95 ** ACTE SUPPRIME ** (EPAULE INCIDENCE SPECIALE ISOLEE - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A158;** SU95 ** ACTE SUPPRIME ** (OMOPLATE FACE ET PROFIL - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A159;** SU95 ** ACTE SUPPRIME ** (OMOPLATE FACE OU PROFIL - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A160;** SU95 ** ACTE SUPPRIME ** (OMOPLATE INCIDENCE SPECIALE - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A161;** SU95 ** ACTE SUPPRIME ** (CLAVICULE FACE ET PROFIL - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A162;** SU95 ** ACTE SUPPRIME ** (CLAVICULE FACE OU PROFIL - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A163;** SU95 ** ACTE SUPPRIME ** (CLAVICULE INCIDENCE SPECIALE - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A164;** SU95 ** ACTE SUPPRIME ** (HUMERUS FACE ET PROFIL - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A165;** SU95 ** ACTE SUPPRIME ** (HUMERUS FACE OU PROFIL - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A740;ABDOMEN SANS PREPARATION : 1 INCIDENCE - TRACTUS GENITO-URINAIRE;0
A741;ABDOMEN SANS PREPARATION : 2 INCIDENCES - TRACTUS GENITO-URINAIRE;0
A742;ABDOMEN SANS PREPARATION : 3 INCIDENCES ET PLUS - TRACTUS GENITO-URINAIRE;0
A743;TOMOGRAPHIES CLASSIQUES : 1 INCIDENCE ET JUSQU'A 5 COUPES - TRACTUS GENITO-URINAIRE;0
A744;TOMOGRAPHIES CLASSIQUES : 1 INCIDENCE ET PLUS DE 5 COUPES - TRACTUS GENITO-URINAIRE;0
A745;TOMOGRAPHIES CLASSIQUES : 2 INCIDENCES ET JUSQU'A 10 COUPES - TRACTUS GENITO-URINAIRE;0
A746;TOMOGRAPHIES CLASSIQUES : 2 INCIDENCES ET PLUS DE 10 COUPES - TRACTUS GENITO-URINAIRE;0
A389;DILATATION ENDO-URETERALE;0
A390;LITHOTRITIE EXTRACORPORELLE DU HAUT APPAREIL URINAIRE;0
A391;DESTRUCTION DE CALCULS DES VOIES EXCRETRICES URINAIRES PAR CONTACT D'UNE SONDE A ULTRA-SONS;0
A047;** SU95 ** ACTE SUPPRIME ** (RACHIS LOMBAIRE OBLIQUE DROIT ET GAUCHE - RACHIS ET CONTENU - RADIOGRAPHIES STANDARD - RACHIS DORSAL, LOMBAIRE, SACRUM ET COCCYX);0
A048;** SU95 ** ACTE SUPPRIME ** (CHARNIERE LOMBO-SACREE FACE ET PROFIL - RACHIS ET CONTENU - RADIOGRAPHIES STANDARD - RACHIS DORSAL, LOMBAIRE, SACRUM ET COCCYX);0
A049;** SU95 ** ACTE SUPPRIME ** (CHARNIERE LOMBO-SACREE FACE OU PROFIL - RACHIS ET CONTENU - RADIOGRAPHIES STANDARD - RACHIS DORSAL, LOMBAIRE, SACRUM ET COCCYX);0
A050;** SU95 ** ACTE SUPPRIME ** (CHARNIERE LOMBO-SACREE OBLIQUE DROIT ET GAUCHE - RACHIS ET CONTENU - RADIOGRAPHIES STANDARD - RACHIS DORSAL, LOMBAIRE, SACRUM ET COCCYX);0
A196;** S>85 ** ACTE SUPPRIME ** (CANAL OPTIQUE : 1 COTE (HARTMAN) : T);0
A197;** S>85 ** ACTE SUPPRIME ** (CANAL OPTIQUE : HIRTZ (BILATERAL) : T);0
A198;** SU95 ** ACTE SUPPRIME ** (FENTE SPHENOIDALE INCIDENCE UNILATERALE (BRUNETTI) - CRANE, CONTENU ET MASSIF FACIAL - TOMOGRAPHIES);0
A199;** SU95 ** ACTE SUPPRIME ** (TROU DECHIRE POSTERIEUR INCIDENCE UNILATERALE - CRANE, CONTENU ET MASSIF FACIAL - TOMOGRAPHIES);0
A200;** S>85 ** ACTE SUPPRIME ** (ROCHER : FACE BILATERALE T);0
A201;** S>85 ** ACTE SUPPRIME ** (ROCHER : TRANS ORBITAIRE UNILATERALE T);0
A202;** S>85 ** ACTE SUPPRIME ** (ROCHER : PROFIL UNILATERAL : T);0
A203;** S>85 ** ACTE SUPPRIME ** (ROCHER : INCIDENCE DE GUILLEN UNILATERALE : T);0
A204;** S>85 ** ACTE SUPPRIME ** (ROCHER : INCIDENCE DE STENVERS UNILATERALE : T);0
A205;** S>85 ** ACTE SUPPRIME ** (ROCHER : INCIDENCE DE POSCHL UNILATERALE T);0
A206;** S>85 ** ACTE SUPPRIME ** (ROCHER : INCIDENCE DE CHAUSSEE III : T);0
A622;ANGIOGRAPHIE NUMERIQUE (AORTIQUE OU RENALE) PAR VOIE VEINEUSE - TRACTUS GENITO-URINAIRE;0
A623;VENTRICULOGRAPHIE DROITE PAR CATHETERISME - COEUR, COU, CAGE THORACIQUE;0
A624;VENTRICULOGRAPHIE DROITE PAR CATHETERISME - POUMON ET MEDIASTIN;0
A625;PHLEBOGRAPHIE DU OU DES MEMBRE(S) INFERIEUR(S) : VEINES DU PIED;0
A626;CONTROLE DE SHUNT ARTERIO-VEINEUX DU MEMBRE INFERIEUR, PAR SONDE GUIDEE;0
A627;CONTROLE DE SHUNT ARTERIO-VEINEUX DU MEMBRE INFERIEUR, PAR PONCTION DIRECTE;0
A628;LYMPHOGRAPHIE : EXAMEN COMPLET, TEMPS CANALICULAIRE ET GANGLIONNAIRE - MEMBRES INFERIEURS;0
A629;LYMPHOGRAPHIE : CONTROLE APRES LE QUINZIEME JOUR - MEMBRES INFERIEURS;0
A630;ANGIOGRAPHIE NUMERIQUE PAR VOIE VEINEUSE - MEMBRES INFERIEURS;0
A631;ILIO-CAVOGRAPHIE PAR PONCTION DIRECTE UNI OU BIFEMORALE - TRACTUS GENITO-URINAIRE;0
A632;ILIOCAVOGRAPHIE PAR PONCTION DIRECTE UNI OU BIFEMORALE - MEMBRES INFERIEURS;0
A633;ILIOCAVOGRAPHIE PAR PONCTION DIRECTE UNI OU BIFEMORALE - TRACTUS DIGESTIF;0
A634;CAVOGRAPHIE INFERIEURE PAR CATHETERISME - TRACTUS DIGESTIF;0
A635;PHLEBOGRAPHIE DU OU DES MEMBRE(S) SUPERIEUR(S);0
A636;CONTROLE DE SHUNT ARTERIO-VEINEUX DU MEMBRE SUPERIEUR, PAR SONDE GUIDEE;0
A637;CONTROLE DE SHUNT ARTERIO-VEINEUX DU MEMBRE SUPERIEUR, PAR PONCTION DIRECTE;0
B001;SCANOGRAPHIE X : CRANE ET CONTENU, SANS INJECTION INTRAVEINEUSE DE PRODUIT DE CONTRASTE;0
B002;SCANOGRAPHIE X : CRANE ET CONTENU, AVEC INJECTION INTRAVEINEUSE DE PRODUIT DE CONTRASTE;0
A580;** SU95 ** ACTE SUPPRIME ** (AUTRES PHLEBOGRAPHIES PAR CATHETERISME - COEUR, COU ET CAGE THORACIQUE - RADIOLOGIE VASCULAIRE - PHLEBOGRAPHIE PAR PONCTION DIRECTE OU SONDE GUIDEE);0
A581;** SU95 ** ACTE SUPPRIME ** (CATHETERISME DU COEUR DROIT AVEC RADIOSCOPIE TELEVISEE);0
A582;** SU95 ** ACTE SUPPRIME ** (CATHETERISME DU COEUR DROIT AVEC SERIOGRAPHIE);0
A055;** SU95 ** ACTE SUPPRIME ** (ARTICULATION SACRO-ILIAQUE OBLIQUE INCIDENCE UNILATERALE - RACHIS ET CONTENU - RADIOGRAPHIES STANDARD - RACHIS DORSAL, LOMBAIRE, SACRUM ET COCCYX);0
A056;** SU95 ** ACTE SUPPRIME ** (RACHIS EN TOTALITE FACE ET PROFIL EN CHARGE A 2,50 M OU PLUS - RACHIS ET CONTENU - RADIOGRAPHIES STANDARD - RACHIS EN TOTALITE);0
A605;** SU95 ** ACTE SUPPRIME ** (AUTRES PHLEBOGRAPHIES PAR PONCTION DIRECTE - TRACTUS DIGESTIF - RADIOLOGIE VASCULAIRE - PHLEBOGRAPHIE);0
A606;AUTRES PHLEBOGRAPHIES PAR CATHETERISME - TRACTUS DIGESTIF;0
A607;SPLENOPORTOGRAPHIE - TRACTUS DIGESTIF;0
A608;ANGIOGRAPHIE ABDOMINALE NUMERIQUE PAR VOIE VEINEUSE PERIPHERIQUE;0
A609;LYMPHOGRAPHIE - TRACTUS DIGESTIF;0
A610;ANGIO-CARDIO-PNEUMOGRAPHIE PAR PONCTION PERIPHERIQUE - COEUR, COU, CAGE THORACIQUE;0
A611;ANGIO-CARDIO-PNEUMOGRAPHIE PAR PONCTION PERIPHERIQUE - POUMON ET MEDIASTIN;0
A612;ANGIO-CARDIO-PNEUMOGRAPHIE PAR CATHETERISME AVEC INJECTION CAVE OU AURICULAIRE - COEUR, COU, CAGE THORACIQUE;0
A613;ANGIO-CARDIO-PNEUMOGRAPHIE PAR CATHETERISME AVEC INJECTION CAVE OU AURICULAIRE - POUMON ET MEDIASTIN;0
A614;ARTERIOGRAPHIE SELECTIVE DES ARTERES PULMONAIRES DROITE ET GAUCHE - POUMON ET MEDIASTIN;0
A615;** S>85 ** ACTE SUPPRIME ** (ILIO-CAVOGRAPHIE, PONCTION DIRECTE);0
A109;CYSTO-URETROGRAPHIE MICTIONNELLE AU COURS D'UNE UROGRAPHIE INTRAVEINEUSE;0
A110;** S>85 ** ACTE SUPPRIME ** (CYSTOGRAPHIE DESCENDANTE ISOLEE);0
A111;** SU95 ** ACTE SUPPRIME ** (CYSTOGRAPHIE RETROGRADE - TRACTUS GENITO-URINAIRE - RADIOGRAPHIES STANDARD);0
A112;URETROCYSTOGRAPHIE RETROGRADE PAR PONCTION SUS-PUBIENNE;0
A113;** S>85 ** ACTE SUPPRIME ** (URETROGRAPHIE RETROGRADE);0
A114;URETROCYSTOGRAPHIE RETROGRADE;0
A115;VESICULODEFERENTOGRAPHIE BILATERALE;0
A116;URETERO-PYELOGRAPHIE RETROGRADE;0
A117;HYSTEROSALPINGOGRAPHIE;0
A747;CATHETERISME ARTERIEL PAR SONDE GUIDEE, SELECTIF - 1 VAISSEAU : DIAPHRAGMATIQUE INFERIEURE, LOMBAIRE OU INTERCOSTALE, RENALE, SURRENALIENNE, HYPOGASTRIQUE ET AUTRES SELECTIVES - TRACTUS GENITO-URINAIRE;0
A748;CATHETERISME ARTERIEL PAR SONDE GUIDEE, SELECTIF - 2 VAISSEAUX : DIAPHRAGMATIQUE INFERIEURE, LOMBAIRE OU INTERCOSTALE, RENALE, SURRENALIENNE, HYPOGASTRIQUE ET AUTRES SELECTIVES - TRACTUS GENITO-URINAIRE;0
A749;CATHETERISME ARTERIEL PAR SONDE GUIDEE, SELECTIF - 3 VAISSEAUX ET PLUS : DIAPHRAGMATIQUE INFERIEURE, LOMBAIRE OU INTERCOSTALE, RENALE, SURRENALIENNE, HYPOGASTRIQUE ET AUTRES SELECTIVES - TRACTUS GENITO-URINAIRE;0
A751;BASSIN : 1 INCIDENCE;0
A752;BASSIN : 2 INCIDENCES;0
A753;BASSIN : 3 INCIDENCES ET PLUS;0
A754;HANCHE(S) : 1 INCIDENCE;0
A755;HANCHE(S) : 2 INCIDENCES;0
A756;HANCHE(S) : 3 INCIDENCES ET PLUS;0
A757;BASSIN ET HANCHE(S) : 3 INCIDENCES ET PLUS;0
A758;BASSIN ET HANCHE(S) : AU BLOC OPERATOIRE;0
A759;FEMUR : 3 INCIDENCES ET PLUS;0
A760;GENOU(X) : 3 INCIDENCES;0
A761;GENOU(X) : 4 INCIDENCES;0
A762;GENOU(X) : 5 INCIDENCES;0
A763;GENOU(X) : 6 INCIDENCES ET PLUS;0
A764;JAMBE(S) : 3 INCIDENCES ET PLUS;0
A765;CHEVILLE(S) : 3 INCIDENCES ET PLUS;0
A766;PIED(S) : 3 INCIDENCES;0
A767;AGE OSSEUX : MAIN, POIGNET, COUDE ET AILE ILIAQUE;0
A213;** S>85 ** ACTE SUPPRIME ** (MF : (Y COMPRIS ORBITES ET/OU SINUS) INCIDENCE DE HIRTZ : T);0
A214;** S>85 ** ACTE SUPPRIME ** (MAXILLAIRE INFERIEUR  : T);0
A215;** S>85 ** ACTE SUPPRIME ** (ARTICULATION TEMPORO-MAXILLAIRE : T);0
A216;** S>85 ** ACTE SUPPRIME ** (CAVUM : FP : T);0
A217;** S>85 ** ACTE SUPPRIME ** (CAVUM : F OU P : T);0
A218;** S>85 ** ACTE SUPPRIME ** (MF INCIDENCES SPECIALES AUTRES : T);0
A219;** SU95 ** ACTE SUPPRIME ** (SELLE TURCIQUE - CRANE, CONTENU ET MASSIF FACIAL - TOMOGRAPHIES);0
