CIM_COD;CIM_LIC;CIM_LIL;MVT_DTE;MVT_ORI;MVT_TYP;CIM_LIC_OLD;TEC_COL
G400;EPILEP. IDIOP. DEFINIS PAR LEUR LOC. AVEC CRISES A DEBUT FOCAL;Épilepsie et syndromes épileptiques idiopathiques définis par leur localisation (focale, partielle) avec crises à début focal;;;;;0
G401;EPILEP. SYMPT. DEFINIS PAR LEUR LOC. AVEC CRISES PART. SIMPLES;Épilepsie et syndromes épileptiques symptomatiques définis par leur localisation (focale, partielle) avec crises partielles simples;;;;;0
G402;EPILEP. SYMPT. DEFINIS PAR LEUR LOC. AVEC DES CRISES PART. COMPLEXES;Épilepsie et syndromes épileptiques symptomatiques définis par leur localisation (focale, partielle) avec des crises partielles complexes;;;;;0
G403;EPILEP. GENERALISES IDIOP.;Épilepsie et syndromes épileptiques généralisés idiopathiques;;;;;0
G404;EPILEP. GENERALISES, NCA;Autres épilepsies et syndromes épileptiques généralisés;;;;;0
G405;SYND. EPILEP. PARTICULIERS;Syndromes épileptiques particuliers;;;;;0
G406;CRISE DE Gd. MAL, SAI;Crise de grand mal, sans précision (avec ou sans petit mal);;;;;0
G407;Pt. MAL, SANS CRISES DE Gd. MAL, SAI;Petit mal, sans crises de grand mal, sans précision;;;;;0
G408;EPILEP., NCA;Autres épilepsies;;;;;0
G409;EPILEP., SAI;Épilepsie, sans précision;;;;;0
G41;ETAT DE MAL EPILEP.;État de mal épileptique;;;;;0
G410;ETAT DE Gd. MAL EPILEP.;État de grand mal épileptique;;;;;0
G411;ETAT DE Pt. MAL EPILEP.;État de petit mal épileptique;;;;;0
G412;ETAT DE MAL EPILEP. PART. COMPLEXE;État de mal épileptique partiel complexe;;;;;0
G418;ETATS DE MAL EPILEP., NCA;Autres états de mal épileptique;;;;;0
G419;ETAT DE MAL EPILEP., SAI;État de mal épileptique, sans précision;;;;;0
G43;MIGRAINE;Migraine;;;;;0
G430;MIGRAINE SANS AURA;Migraine sans aura [migraine commune];;;;;0
G431;MIGRAINE AVEC AURA;Migraine avec aura [migraine classique];;;;;0
G432;ETAT DE MAL MIGRAINEUX;État de mal migraineux;;;;;0
G433;MIGRAINE COMPLIQ.;Migraine compliquée;;;;;0
G438;MIGRAINES, NCA;Autres migraines;;;;;0
G439;MIGRAINE, SAI;Migraine, sans précision;;;;;0
G44;SYND. D'ALGIES CEPHALIQUES, NCA;Autres syndromes d'algies céphaliques;;;;;0
G440;SYND. D'ALGIE VASC. DE LA FACE;Syndrome d'algie vasculaire de la face;;;;;0
G441;CEPHALEE VASC., NCA;Céphalée vasculaire, non classée ailleurs;;;;;0
G442;CEPHALEE DITE DE TENSION;Céphalée dite de tension;;;;;0
G443;CEPHALEE CHRON. POST-TRAUMA.;Céphalée chronique post-traumatique;;;;;0
G444;CEPHALEE MEDICAM., NCA;Céphalée médicamenteuse, non classée ailleurs;;;;;0
G448;SYND. PREC. D'ALGIES CEPHALIQUES, NCA;Autres syndromes précisés d'algies céphaliques;;;;;0
G45;ACCID. ISCHEM. CEREB. TRANSIT. ET SYND. APPARENTES;Accidents ischémiques cérébraux transitoires et syndromes apparentés;;;;;0
G450;SYND. VERTEBRO-BASILAIRE;Syndrome vertébro-basilaire;;;;;0
G451;SYND. CAROTIDIEN;Syndrome carotidien (hémisphérique);;;;;0
