GM9_GHM_COD;CMD_COD;GHM_LIB;TEC_COL
13C01S;13;Interventions pour affections de l'appareil génital féminin, avec CMAS;0
13C02V;13;Exentérations pelviennes, hystérectomies élargies ou vulvectomies, sans CMA;0
13C02W;13;Exentérations pelviennes, hystérectomies élargies ou vulvectomies, avec CMA;0
13C03V;13;Hystérectomies, âge inférieur à 70 ans sans CMA;0
13C03W;13;Hystérectomies, âge supérieur à 69 ans et/ou CMA;0
13C04V;13;Interventions réparatrices sur l'appareil génital féminin, âge inférieur à 70 ans sans CMA;0
13C04W;13;Interventions réparatrices sur l'appareil génital féminin, âge supérieur à 69 ans et/ou CMA;0
02C08W;2;Autres interventions extraoculaires, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
02C09Z;2;Allogreffes de cornée;0
02M02Z;2;Hyphéma;0
02M03Z;2;Infections oculaires aiguës sévères;0
02M04Z;2;Affections oculaires d'origine neurologique;0
24K38Z;24;Affections de la bouche et des dents avec certaines extractions, réparations et prothèses dentaires sans anesthésie : séjours de moins de 2 jours;0
07M03V;7;Hépatites alcooliques et cirrhoses, âge inférieur à 70 ans sans CMA;0
07M03W;7;Hépatites alcooliques et cirrhoses, âge supérieur à 69 ans et/ou CMA;0
07M04V;7;Affections hépatiques à l'exception des tumeurs malignes, des cirrhoses, des hépatites alcooliques, sans CMA;0
07M04W;7;Affections hépatiques à l'exception des tumeurs malignes, des cirrhoses, des hépatites alcooliques, avec CMA;0
07M05V;7;Affections non malignes du pancréas sans CMA;0
07M05W;7;Affections non malignes du pancréas avec CMA;0
07M06V;7;Affections malignes du système hépatobiliaire ou du pancréas, âge inférieur à 70 ans sans CMA;0
07M06W;7;Affections malignes du système hépatobiliaire ou du pancréas, âge supérieur à 69 ans et/ou CMA;0
08C01S;8;Interventions pour affections de l'appareil musculosquelettique et du tissu conjonctif, avec CMAS non traumatiques;0
08C02Z;8;Interventions majeures multiples sur les genoux et/ou les hanches;0
