EXO_JTM_COD;EXO_JTM_LIB;TEC_COL
0;PAS D'EXONERATION;0
1;SOINS EN RAPPORT AVEC UN K OU KC > OU = 50 (NGAP);0
2;SOINS RELATIFS A UN SEJOUR > 30 JOURS;0
3;SOINS PARTICULIERS EXONERES;0
4;SOINS EN RAPPORT AVEC UNE DES 30 OU 31EME MALADIES;0
5;ASSURE EXONERE (CAS);0
6;RESERVE SESAM-VITALE POUR LES REGIMES SPECIAUX SNCF ET RATP;0
7;SOINS DISPENSES EN RISQUE MALADIE ET EXONERES DANS LE CADRE D¿UN DISPOSITIF DE PREVENTION;0
8;valeur générée avec asu-nat 13 (et etm-jst=0) -pour memoire- RESERVE AU REGIME GENERAL;0
9;FSV OU FSI (anciens FNS);0
C;SOINS EXONERES EN CODAGE CCAM DU FAIT DE LA NATURE DE L'ACTE, OU DU DEPASSEMENT DU SEUIL.;0
I;valeur inconnue;1
X;sans objet;2
