PDP_COD;PDP_LIB;TEC_COL
DP;diagnostic principal;0
DR;diagnostic relié;0
XX;valeur sans objet;2
II;valeur inconnue;1
1;indice 1 du DP dans la liste des DAS;0
2;indice 2 du DP dans la liste des DAS;0
3;indice 3 du DP dans la liste des DAS;0
4;indice 4 du DP dans la liste des DAS;0
5;indice 5 du DP dans la liste des DAS;0
6;indice 6 du DP dans la liste des DAS;0
7;indice 7 du DP dans la liste des DAS;0
8;indice 8 du DP dans la liste des DAS;0
9;indice 9 du DP dans la liste des DAS;0
10;indice 10 du DP dans la liste des DAS;0
11;indice 11 du DP dans la liste des DAS;0
12;indice 12 du DP dans la liste des DAS;0
13;indice 13 du DP dans la liste des DAS;0
14;indice 14 du DP dans la liste des DAS;0
15;indice 15 du DP dans la liste des DAS;0
16;indice 16 du DP dans la liste des DAS;0
17;indice 17 du DP dans la liste des DAS;0
18;indice 18 du DP dans la liste des DAS;0
19;indice 19 du DP dans la liste des DAS;0
20;indice 20 du DP dans la liste des DAS;0
21;indice 21 du DP dans la liste des DAS;0
22;indice 22 du DP dans la liste des DAS;0
23;indice 23 du DP dans la liste des DAS;0
24;indice 24 du DP dans la liste des DAS;0
25;indice 25 du DP dans la liste des DAS;0
26;indice 26 du DP dans la liste des DAS;0
27;indice 27 du DP dans la liste des DAS;0
28;indice 28 du DP dans la liste des DAS;0
29;indice 29 du DP dans la liste des DAS;0
30;indice 30 du DP dans la liste des DAS;0
31;indice 31 du DP dans la liste des DAS;0
32;indice 32 du DP dans la liste des DAS;0
33;indice 33 du DP dans la liste des DAS;0
34;indice 34 du DP dans la liste des DAS;0
35;indice 35 du DP dans la liste des DAS;0
36;indice 36 du DP dans la liste des DAS;0
37;indice 37 du DP dans la liste des DAS;0
38;indice 38 du DP dans la liste des DAS;0
39;indice 39 du DP dans la liste des DAS;0
40;indice 40 du DP dans la liste des DAS;0
41;indice 41 du DP dans la liste des DAS;0
42;indice 42 du DP dans la liste des DAS;0
43;indice 43 du DP dans la liste des DAS;0
44;indice 44 du DP dans la liste des DAS;0
45;indice 45 du DP dans la liste des DAS;0
46;indice 46 du DP dans la liste des DAS;0
47;indice 47 du DP dans la liste des DAS;0
48;indice 48 du DP dans la liste des DAS;0
49;indice 49 du DP dans la liste des DAS;0
50;indice 50 du DP dans la liste des DAS;0
51;indice 51 du DP dans la liste des DAS;0
52;indice 52 du DP dans la liste des DAS;0
53;indice 53 du DP dans la liste des DAS;0
54;indice 54 du DP dans la liste des DAS;0
55;indice 55 du DP dans la liste des DAS;0
56;indice 56 du DP dans la liste des DAS;0
57;indice 57 du DP dans la liste des DAS;0
58;indice 58 du DP dans la liste des DAS;0
59;indice 59 du DP dans la liste des DAS;0
60;indice 60 du DP dans la liste des DAS;0
61;indice 61 du DP dans la liste des DAS;0
62;indice 62 du DP dans la liste des DAS;0
63;indice 63 du DP dans la liste des DAS;0
64;indice 64 du DP dans la liste des DAS;0
65;indice 65 du DP dans la liste des DAS;0
66;indice 66 du DP dans la liste des DAS;0
67;indice 67 du DP dans la liste des DAS;0
68;indice 68 du DP dans la liste des DAS;0
69;indice 69 du DP dans la liste des DAS;0
70;indice 70 du DP dans la liste des DAS;0
71;indice 71 du DP dans la liste des DAS;0
72;indice 72 du DP dans la liste des DAS;0
73;indice 73 du DP dans la liste des DAS;0
74;indice 74 du DP dans la liste des DAS;0
75;indice 75 du DP dans la liste des DAS;0
76;indice 76 du DP dans la liste des DAS;0
77;indice 77 du DP dans la liste des DAS;0
78;indice 78 du DP dans la liste des DAS;0
79;indice 79 du DP dans la liste des DAS;0
80;indice 80 du DP dans la liste des DAS;0
81;indice 81 du DP dans la liste des DAS;0
82;indice 82 du DP dans la liste des DAS;0
83;indice 83 du DP dans la liste des DAS;0
84;indice 84 du DP dans la liste des DAS;0
85;indice 85 du DP dans la liste des DAS;0
86;indice 86 du DP dans la liste des DAS;0
87;indice 87 du DP dans la liste des DAS;0
88;indice 88 du DP dans la liste des DAS;0
89;indice 89 du DP dans la liste des DAS;0
90;indice 90 du DP dans la liste des DAS;0
91;indice 91 du DP dans la liste des DAS;0
92;indice 92 du DP dans la liste des DAS;0
93;indice 93 du DP dans la liste des DAS;0
94;indice 94 du DP dans la liste des DAS;0
95;indice 95 du DP dans la liste des DAS;0
96;indice 96 du DP dans la liste des DAS;0
97;indice 97 du DP dans la liste des DAS;0
98;indice 98 du DP dans la liste des DAS;0
99;indice 99 du DP dans la liste des DAS;0
