REC_OPE_NAT;REC_OPE_LIB;TEC_COL
ANT;ANNULATION TOTALE;0
CIN;CONSTAT INITIAL;0
LOP;MAIN LEVEE D'OPPOSITION PARTIELLE;0
LOT;MAIN LEVEE D'OPPOSITION TOTALE;0
NVP;ADMISSION EN NON VALEUR PARTIELLE;0
NVT;ADMISSION EN NON VALEUR TOTALE;0
PAI;PAIEMENT;0
PPR;PASSAGE EN PROFIT;0
RAS;REMBOURSEMENT A L'ASSURE;0
RDP;REMISE DE DETTE PARTIELLE;0
RDS;REMISE DE DETTE < SEUIL;0
RDT;REMISE DE DETTE TOTALE;0
REL;RECTIF. D'UN ELEMENT SIGNALETIQUE;0
RMO;RECTIFICATION D'UN MONTANT;0
RPR;RETENUE SUR PRESTATION;0
XXX;sans objet;2
III;valeur inconnue;1
