COD_RES;RES_LIB;TEC_COL
77910;VARREDDES;0
78000;VERSAILLES;0
78113;HOUDAN;0
78124;MAULE;0
78125;RAMBOUILLET;0
78160;MARLY LE ROI;0
78190;TRAPPES;0
78230;LE PECQ;0
78300;POISSY;0
78350;JOUY EN JOSAS;0
78420;CARRIERES SUR SEINE;0
78460;CHEVREUSE;0
78480;VERNEUIL SUR SEINE;0
78530;BUC;0
78590;NOISY LE ROI;0
78630;ORGEVAL;0
78750;ST GERMAIN EN LAYE;0
78910;HOUDAN;0
78990;ELANCOURT;0
79100;THOUARS;0
79110;CHEF BOUTONNE;0
79130;SECONDIGNY;0
79150;ARGENTON CHATEAU;0
79170;BRIOUX SUR BOUTONNE;0
79200;PARTHENAY;0
79230;PRAHECQ;0
79260;LA CRECHE;0
79270;FRONTENAY ROHAN ROHAN;0
79310;MAZIERES EN GATINE;0
79340;MENIGOUTE;0
79390;THENEZAY;0
80000;AMIENS;0
80100;ABBEVILLE;0
80115;QUERRIEU;0
80130;FRIVILLE ESCARBOTIN;0
80135;ABBEVILLE;0
80140;OISEMONT;0
80170;ROSIERES EN SANTERRE;0
80210;FEUQUIERES EN VIMEU;0
80250;AILLY SUR NOYE;0
80290;POIX DE PICARDIE;0
80320;CHAULNES;0
80350;MERS LES BAINS;0
80370;BERNAVILLE;0
80410;CAYEUX SUR MER;0
80440;BOVES;0
80470;AILLY SUR SOMME;0
80490;HALLENCOURT;0
80510;LONGPRE LES CORPS SAINTS;0
80550;LE CROTOY;0
80570;DARGNIES;0
80600;DOULLENS;0
80630;BEAUVAL;0
80650;VIGNACOURT;0
80680;SAINS EN AMIENOIS;0
80690;ABBEVILLE;0
80700;ROYE;0
80710;POIX DE PICARDIE;0
80740;EPEHY;0
80750;CANDAS;0
80770;BEAUCHAMPS;0
80780;ST LEGER LES DOMART;0
80800;FOUILLOY;0
80850;BERTEAUCOURT LES DAMES;0
80870;ABBEVILLE;0
80880;ST QUENTIN LA MOTTE CROIX AU BAI;0
81000;ALBI;0
81090;LABRUGUIERE;0
81100;CASTRES;0
81110;DOURGNE;0
81120;REALMONT;0
81130;CAGNAC LES MINES;0
81140;CASTELNAU DE MONTMIRAL;0
81150;MARSSAC SUR TARN;0
81160;ST JUERY;0
81170;CORDES SUR CIEL;0
81190;MIRANDOL BOURGNOUNAC;0
81200;MAZAMET;0
81210;ROQUECOURBE;0
81220;ST PAUL CAP DE JOUX;0
81230;LACAUNE;0
67113;BLAESHEIM;0
67116;MUNDOLSHEIM;0
67118;GEISPOLSHEIM;0
67140;BARR;0
67170;BRUMATH;0
67202;STRASBOURG;0
67205;STRASBOURG;0
67210;OBERNAI;0
67240;BISCHWILLER;0
