RET_COD;RET_LIB;TEC_COL
-2;sans objet;2
-1;valeur inconnue;1
0;GROUPAGE REUSSI;0
2;INCOMPATIBILITESEXE-DIAGNOSTIC PRINCIPAL;0
3;DIAGNOSTIC PRINCIPAL INCOHÉRENT;0
4;TABLES ENDOMMAGÉES;0
5;DIAGNOSTIC PRINCIPAL : TITRE, INSUFFISAMMENT PRÉCIS POUR LA CLASSIFICATION DES GHM;0
6;INCOMPATIBILITÉ ACTE-DIAGNOSTIC;0
7;POIDS INCOMPATIBLE POUR UN NOUVEAU-NÉ;0
8;CORRUPTION D'UNE TABLE;0
9;TABLE INTROUVABLE;0
10;RSS MULTI-UNITÉ AVEC NUMÉRO DE RSS INCONSTANT;0
11;NUMÉRO DE RSS ABSENT;0
13;DATE DE NAISSANCE ABSENTE;0
14;DATE DE NAISSANCE NON NUMÉRIQUE;0
15;DATE DE NAISSANCE IMPROBABLE PAR RAPPORT À LA DATE D'ENTRÉE;0
16;CODE SEXE ABSENT;0
17;CODE SEXE ERRONÉ;0
19;DATE D'ENTRÉE ABSENTE;0
20;DATE D'ENTRÉE NON NUMÉRIQUE;0
21;DATE D'ENTRÉE INCOHÉRENTE;0
23;RSS MULTI-UNITÉ : CHAÎNAGE DATE D'ENTRÉE - DATE DE SORTIE INCOHÉRENT;0
24;MODE D'ENTRÉE ABSENT;0
25;MODE D'ENTRÉE ERRONÉ OU PROVENANCE ERRONÉE;0
26;MODE D'ENTRÉE INCORRECT OU PROVENANCE INCORRECTE POUR COMMENCER UN RSS;0
27;RSS MULTI-UNITÉ : MODE D'ENTRÉE INCORRECT OU PROVENANCE INCORRECTE SUR UN RUM DE SUITE;0
28;DATE DE SORTIE ABSENTE;0
29;DATE DE SORTIE NON NUMÉRIQUE;0
30;DATE DE SORTIE INCOHÉRENTE;0
32;RUM AVEC INCOHÉRENCE DATE DE SORTIE - DATE D'ENTRÉE;0
33;MODE DE SORTIE ABSENT;0
34;MODE DE SORTIE ERRONÉ, OU DESTINATION ERRONÉE;0
35;MODE DE SORTIE INCORRECT OU DESTINATION INCORRECTE POUR CLORE UN RSS;0
36;NOMBRE DE SÉANCES NON NUMÉRIQUE;0
37;RSS MULTI-UNITÉ : PRÉSENCE DE SÉANCES SUR UN DES RUM;0
39;DATE DE NAISSANCE INCOHÉRENTE;0
40;DIAGNOSTIC PRINCIPAL ABSENT;0
41;CODE DE DIAGNOSTIC PRINCIPAL NE RESPECTANT PAS LE FORMAT DE LA CIM;0
42;CODE DE DIAGNOSTIC ASSOCIÉ SIGNIFICATIF NE RESPECTANT PAS LE FORMAT DE LA CIM;0
43;CODE D'ACTE NE RESPECTANT PAS LE  FORMAT DU CDAM OU DE LA CCAM;0
45;RSS MULTI-UNITÉ : DATE DE NAISSANCE INCONSTANTE;0
46;RSS MULTI-UNITÉ : CODE SEXE INCONSTANT;0
49;RSS MULTI-UNITÉ : MODE DE SORTIE INCORRECT OU DESTINATION INCORRECTE POUR UN RUM AUTRE QUE LE DERNIER;0
50;DÉLAI DE SÉJOUR INCOMPATIBLE AVEC LE PRINCIPE ADMINISTRATIF DE PRESTATION INTER-ETABLISSEMENT;0
51;CODE DE DIAGNOSTIC RELIÉ NE RESPECTANT PAS LE FORMAT PRÉVU;0
52;NOMBRE DE RÉALISATIONS D'ACTES NON NUMÉRIQUE, OU ERRONÉ;0
