LPP_PRS_IDE;LPP_RED_LIB;LPP_VAL_DTF;LPP_MAX_AGE;LPP_PRS_TYP;LPP_MED_IND;LPP_ARB_CHA;LPP_ARB_SC1;LPP_ARB_SC2;LPP_ARB_SC3;LPP_ARB_SC4;LPP_ARB_SC5;LPP_ARB_SC6;LPP_ARB_SC7;LPP_ARB_SC8;LPP_ARB_SC9;LPP_ARB_BAS;LPP_PRO_COD;LPP_ANC_COD
7836581;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] HEPHILENS;;0;A;O;2;2;5;2;1;2;0;0;0;0;647.000000;;
7836598;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] K OPTICAL;;0;A;O;2;2;5;2;1;2;0;0;0;0;648.000000;;
7836606;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] K OPTICAL KARA;;0;A;O;2;2;5;2;1;2;0;0;0;0;649.000000;;
7836612;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] LESA FRANCE;;0;A;O;2;2;5;2;1;2;0;0;0;0;650.000000;;
7836629;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] METAOPTICS;;0;A;O;2;2;5;2;1;2;0;0;0;0;651.000000;;
7836635;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] MULTILENS;;0;A;O;2;2;5;2;1;2;0;0;0;0;652.000000;;
7836641;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] OMEGA OPTIX;;0;A;O;2;2;5;2;1;2;0;0;0;0;653.000000;;
7836658;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] OPTIEYES FRANCE;;0;A;O;2;2;5;2;1;2;0;0;0;0;654.000000;;
7836664;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] TOKAI;;0;A;O;2;2;5;2;1;2;0;0;0;0;655.000000;;
7836670;OPTIQUE, VERRE UNIFOC. B, SPH (+) ET S ENTRE] +6,00 A +8,00] VECTEUR;;0;A;O;2;2;5;2;1;2;0;0;0;0;656.000000;;
7836687;OPTIQUE, VERRE MF  A, SPH < -12,00 ET CYL (+) [0,25 A 4,00] FONDA;;0;A;O;2;2;5;1;2;2;0;0;0;0;300.000000;;
7836693;OPTIQUE, VERRE MF  A, SPH < -12,00 ET CYL (+) [0,25 A 4,00] GBO PRO;;0;A;O;2;2;5;1;2;2;0;0;0;0;301.000000;;
7836701;OPTIQUE, VERRE MF  A, SPH < -12,00 ET CYL (+) [0,25 A 4,00] TOKAI;;0;A;O;2;2;5;1;2;2;0;0;0;0;302.000000;;
7836718;OPTIQUE, VERRE MF  A, SPH < -12,00 ET CYL (+) [0,25 A 4,00] VECTEUR;;0;A;O;2;2;5;1;2;2;0;0;0;0;303.000000;;
7836724;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] FONDA;;0;A;O;2;2;5;1;3;1;0;0;0;0;314.000000;;
7836730;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] GBO PRO;;0;A;O;2;2;5;1;3;1;0;0;0;0;315.000000;;
7836747;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] J & J DISTRIB;;0;A;O;2;2;5;1;3;1;0;0;0;0;316.000000;;
7836753;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] LESA FRANCE;;0;A;O;2;2;5;1;3;1;0;0;0;0;317.000000;;
7836760;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] LUXOTTICA;;0;A;O;2;2;5;1;3;1;0;0;0;0;318.000000;;
7836776;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] METAOPTICS;;0;A;O;2;2;5;1;3;1;0;0;0;0;319.000000;;
7836782;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] TOKAI;;0;A;O;2;2;5;1;3;1;0;0;0;0;320.000000;;
7836799;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE] -8,00 A -12,00] VECTEUR;;0;A;O;2;2;5;1;3;1;0;0;0;0;321.000000;;
7836807;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 CONSCIOUS EYEW.;;0;A;O;2;2;5;2;1;2;0;0;0;0;775.000000;;
