UCD_UCD_COD;UCD_PCD_COD;UCD_SVT_COD;UCD_INS_TOP;UCD_LAB_NOM;UCD_DOC_DTE;UCD_DOC_LIB;UCD_DER_MAJ;UCD_DSN_LIB;UCD_CND_LIB;UCD_OBS_LIB
0000009231824;0;0;0;SHIRE FRANCE;14NOV2017:00:00:00;JO;20NOV2017:00:00:00;CEPROTIN 500 UI/5 ML;poudre et solvant pour solution injectable;
0000009232120;0;0;0;LFB-BIOMEDICAMENTS;13JUN2017:00:00:00;JO;26JUN2017:00:00:00;BETAFACT 50 UI/ml;poudre et solvant pour solution injectable (10 ml);
0000009232137;0;0;0;LFB-BIOMEDICAMENTS;13JUN2017:00:00:00;JO;26JUN2017:00:00:00;BETAFACT 50 UI/ml;poudre et solvant pour solution injectable (20 ml);
0000009232143;0;0;0;LFB-BIOMEDICAMENTS;13JUN2017:00:00:00;JO;26JUN2017:00:00:00;BETAFACT 50 UI/ml;poudre et solvant pour solution injectable (5 ml);
0000009232315;0;0;0;SWEDISH ORPHAN INTERNAT. AB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;AMMONAPS 940 mg/g;granule en flacon de 266 g;
0000009233214;0;0;0;NOVARTIS PHARMA SAS;24FEB2015:00:00:00;JO;03MAR2015:00:00:00;PROLEUKIN 18 MILLIONS UI;poudre pour solution injectable;
0000009233527;0;0;0;PFIZER;06APR2016:00:00:00;JO;30OCT2018:00:00:00;ZYVOXID 2 mg/ml;solution pour perfusion en poche de 300 ml;
0000009233680;0;0;0;BOEHRINGER INGELHEIM FRANCE;24FEB2015:00:00:00;JO;26FEB2015:00:00:00;BEROMUN 1 mg/5 ml;poudre et solvant pour solution pour perfusion;
0000009234047;0;0;0;LFB-BIOMEDICAMENTS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;PROTEXEL 50 UI/ml;poudre et solvant pour solution injectable;
0000009234225;0;0;0;BAXTER SA;06DEC2017:00:00:00;JO;12DEC2017:00:00:00;ENDOBULINE 5 g;poudre et solvant pour solution injectable en flacon de 100 ml;
0000009234254;0;0;0;BAXTER SA;06DEC2017:00:00:00;JO;12DEC2017:00:00:00;ENDOBULINE 2,5 g;poudre et solvant pour solution injectable en flacon de 50 ml;
0000009236247;0;0;0;GILEAD SCIENCES;26OCT2018:00:00:00;JO;29OCT2018:00:00:00;VIREAD 245 mg;comprime pellicule;
