INV_SDV_COD;GRG_COD;URC_ARH_COD;ORG_CAI_NUM;ORG_BSE_NUM;COL_TRI;COL_COM;INV_SDV_LIB
316;1;0;711;01C711;139;;RG : CPAM Macon - hors SLM
315;1;0;491;01C491;140;;RG : CPAM Maine-et-Loire
316;1;0;491;01C491;141;;RG : CPAM Maine-et-Loire - hors SLM
315;1;0;131;01C131;142;;RG : CPAM Marseille
316;1;0;131;01C131;143;;RG : CPAM Marseille - hors SLM
315;1;0;771;01C771;144;;RG : CPAM Melun
316;1;0;771;01C771;145;;RG : CPAM Melun - hors SLM
315;1;0;770;01C770;146;;RG : CPAM Melun (expatries)
316;1;0;770;01C770;147;;RG : CPAM Melun (expatries) - hors SLM
315;1;0;481;01C481;148;;RG : CPAM Mende
316;1;0;481;01C481;149;;RG : CPAM Mende - hors SLM
315;1;0;821;01C821;150;;RG : CPAM Montauban
316;1;0;821;01C821;151;;RG : CPAM Montauban - hors SLM
315;1;0;401;01C401;152;;RG : CPAM Mont-de-Marsan
316;1;0;401;01C401;153;;RG : CPAM Mont-de-Marsan - hors SLM
315;1;0;031;01C031;154;;RG : CPAM Moulins
316;1;0;031;01C031;155;;RG : CPAM Moulins - hors SLM
315;1;0;921;01C921;156;;RG : CPAM Nanterre
316;1;0;921;01C921;157;;RG : CPAM Nanterre - hors SLM
315;1;0;581;01C581;158;;RG : CPAM Nevers
316;1;0;581;01C581;159;;RG : CPAM Nevers - hors SLM
315;1;0;061;01C061;160;;RG : CPAM Nice
316;1;0;061;01C061;161;;RG : CPAM Nice - hors SLM
315;1;0;301;01C301;162;;RG : CPAM Nimes
316;1;0;301;01C301;163;;RG : CPAM Nimes - hors SLM
315;1;0;791;01C791;164;;RG : CPAM Niort
316;1;0;791;01C791;165;;RG : CPAM Niort - hors SLM
315;1;0;451;01C451;166;;RG : CPAM Orleans
316;1;0;451;01C451;167;;RG : CPAM Orleans - hors SLM
315;1;0;751;01C751;168;;RG : CPAM Paris
316;1;0;751;01C751;169;;RG : CPAM Paris - hors SLM
315;1;0;642;01C642;170;;RG : CPAM Pau
316;1;0;642;01C642;171;;RG : CPAM Pau - hors SLM
315;1;0;241;01C241;172;;RG : CPAM Perigueux
316;1;0;241;01C241;173;;RG : CPAM Perigueux - hors SLM
315;1;0;661;01C661;174;;RG : CPAM Perpignan
316;1;0;661;01C661;175;;RG : CPAM Perpignan - hors SLM
315;1;0;861;01C861;176;;RG : CPAM Poitiers
316;1;0;861;01C861;177;;RG : CPAM Poitiers - hors SLM
315;1;0;951;01C951;178;;RG : CPAM Pontoise
316;1;0;951;01C951;179;;RG : CPAM Pontoise - hors SLM
315;1;0;511;01C511;180;;RG : CPAM Reims
316;1;0;511;01C511;181;;RG : CPAM Reims - hors SLM
315;1;0;351;01C351;182;;RG : CPAM Rennes
316;1;0;351;01C351;183;;RG : CPAM Rennes - hors SLM
315;1;0;121;01C121;184;;RG : CPAM Rodez
316;1;0;121;01C121;185;;RG : CPAM Rodez - hors SLM
316;1;0;764;01C764;186;;RG : CPAM Rouen-Elbeuf-Dieppe-Seine-Maritime - hors SLM
315;1;0;221;01C221;187;;RG : CPAM Saint-Brieuc
316;1;0;221;01C221;188;;RG : CPAM Saint-Brieuc - hors SLM
315;1;0;501;01C501;189;;RG : CPAM Saint-Lo
316;1;0;501;01C501;190;;RG : CPAM Saint-Lo - hors SLM
315;1;0;651;01C651;191;;RG : CPAM Tarbes
316;1;0;651;01C651;192;;RG : CPAM Tarbes - hors SLM
315;1;0;831;01C831;193;;RG : CPAM Toulon
316;1;0;831;01C831;194;;RG : CPAM Toulon - hors SLM
315;1;0;311;01C311;195;;RG : CPAM Toulouse
316;1;0;311;01C311;196;;RG : CPAM Toulouse - hors SLM
315;1;0;371;01C371;197;;RG : CPAM Tours
316;1;0;371;01C371;198;;RG : CPAM Tours - hors SLM
315;1;0;101;01C101;199;;RG : CPAM Troyes
316;1;0;101;01C101;200;;RG : CPAM Troyes - hors SLM
315;1;0;191;01C191;201;;RG : CPAM Tulle
316;1;0;191;01C191;202;;RG : CPAM Tulle - hors SLM
315;1;0;261;01C261;203;;RG : CPAM Valence
