PSP_SPE_SNDS;PSP_SPE_LIB
0;NON RENSEIGNE
1;MEDECINE GENERALE
2;ANESTHESIOLOGIE - REANIMATION
3;PATHOLOGIE CARDIO-VASCULAIRE
4;CHIRURGIE
5;DERMATOLOGIE ET VENEROLOGIE
6;RADIOLOGIE
7;GYNECOLOGIE OBSTETRIQUE
8;GASTRO-ENTEROLOGIE ET HEPATOLOGIE
9;MEDECINE INTERNE
11;OTO RHINO-LARYNGOLOGIE
12;PEDIATRIE
13;PNEUMOLOGIE
14;RHUMATOLOGIE
15;OPHTALMOLOGIE
18;STOMATOLOGIE
31;MEDECINE PHYSIQUE ET DE READAPTATION
32;NEUROLOGIE
33;PSYCHIATRIE
34;GERIATRIE
35;NEPHROLOGIE
36;CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.)
37;ANATOMIE-CYTOLOGIE-PATHOLOGIQUE
38;DIRECTEUR LABORATOIRE MEDECIN
42;ENDOCRINOLOGIE ET METABOLISMES
80;SANTE PUBLIQUE ET MEDECINE SOCIALE
99;VALEUR INCONNUE
