CAI_COD;DRS_COD;DRS_LIB;TEC_COL
11;690;RHÔNE ALPES;0
21;590;NORD PAS DE CALAIS - PICARDIE;0
22;590;NORD PAS DE CALAIS - PICARDIE;0
31;630;AUVERGNE;0
41;130;PROVENCE CÔTE D'AZUR-CORSE;0
51;130;PROVENCE CÔTE D'AZUR-CORSE;0
61;130;PROVENCE CÔTE D'AZUR-CORSE;0
71;690;RHÔNE ALPES;0
72;690;RHÔNE ALPES;0
81;540;NORD EST;0
91;310;MIDI PYRENEES;0
101;540;NORD EST;0
111;340;LANGUEDOC ROUSSILLON;0
121;310;MIDI PYRENEES;0
131;130;PROVENCE CÔTE D'AZUR-CORSE;0
141;760;NORMANDIE;0
151;630;AUVERGNE;0
161;870;LIMOUSIN-POITOU CHARENTES;0
171;870;LIMOUSIN-POITOU CHARENTES;0
181;450;CENTRE;0
191;870;LIMOUSIN-POITOU CHARENTES;0
201;130;PROVENCE CÔTE D'AZUR-CORSE;0
202;130;PROVENCE CÔTE D'AZUR-CORSE;0
211;210;BOURGOGNE FRANCHE COMTE;0
221;350;BRETAGNE;0
231;870;LIMOUSIN-POITOU CHARENTES;0
241;330;AQUITAINE;0
251;210;BOURGOGNE FRANCHE COMTE;0
252;210;BOURGOGNE FRANCHE COMTE;0
261;690;RHÔNE ALPES;0
271;760;NORMANDIE;0
281;450;CENTRE;0
291;350;BRETAGNE;0
292;350;BRETAGNE;0
301;340;LANGUEDOC ROUSSILLON;0
311;310;MIDI PYRENEES;0
321;310;MIDI PYRENEES;0
331;330;AQUITAINE;0
341;340;LANGUEDOC ROUSSILLON;0
342;340;LANGUEDOC ROUSSILLON;0
351;350;BRETAGNE;0
361;450;CENTRE;0
371;450;CENTRE;0
381;690;RHÔNE ALPES;0
382;690;RHÔNE ALPES;0
391;210;BOURGOGNE FRANCHE COMTE;0
401;330;AQUITAINE;0
411;450;CENTRE;0
421;690;RHÔNE ALPES;0
422;690;RHÔNE ALPES;0
431;630;AUVERGNE;0
441;440;PAYS DE LA LOIRE;0
442;440;PAYS DE LA LOIRE;0
451;450;CENTRE;0
461;310;MIDI PYRENEES;0
471;330;AQUITAINE;0
481;340;LANGUEDOC ROUSSILLON;0
491;440;PAYS DE LA LOIRE;0
492;440;PAYS DE LA LOIRE;0
501;760;NORMANDIE;0
511;540;NORD EST;0
521;540;NORD EST;0
531;440;PAYS DE LA LOIRE;0
541;540;NORD EST;0
542;540;NORD EST;0
551;540;NORD EST;0
561;350;BRETAGNE;0
571;670;ALSACE MOSELLE;0
572;670;ALSACE MOSELLE;0
573;670;ALSACE MOSELLE;0
581;210;BOURGOGNE FRANCHE COMTE;0
591;590;NORD PAS DE CALAIS - PICARDIE;0
592;590;NORD PAS DE CALAIS - PICARDIE;0
593;590;NORD PAS DE CALAIS - PICARDIE;0
594;590;NORD PAS DE CALAIS - PICARDIE;0
595;590;NORD PAS DE CALAIS - PICARDIE;0
596;590;NORD PAS DE CALAIS - PICARDIE;0
597;590;NORD PAS DE CALAIS - PICARDIE;0
598;590;NORD PAS DE CALAIS - PICARDIE;0
599;590;NORD PAS DE CALAIS - PICARDIE;0
601;590;NORD PAS DE CALAIS - PICARDIE;0
602;590;NORD PAS DE CALAIS - PICARDIE;0
611;760;NORMANDIE;0
621;590;NORD PAS DE CALAIS - PICARDIE;0
622;590;NORD PAS DE CALAIS - PICARDIE;0
623;590;NORD PAS DE CALAIS - PICARDIE;0
624;590;NORD PAS DE CALAIS - PICARDIE;0
631;630;AUVERGNE;0
641;330;AQUITAINE;0
642;330;AQUITAINE;0
651;310;MIDI PYRENEES;0
661;340;LANGUEDOC ROUSSILLON;0
671;670;ALSACE MOSELLE;0
672;670;ALSACE MOSELLE;0
673;670;ALSACE MOSELLE;0
681;670;ALSACE MOSELLE;0
682;670;ALSACE MOSELLE;0
691;690;RHÔNE ALPES;0
692;690;RHÔNE ALPES;0
701;210;BOURGOGNE FRANCHE COMTE;0
711;210;BOURGOGNE FRANCHE COMTE;0
721;440;PAYS DE LA LOIRE;0
731;690;RHÔNE ALPES;0
741;690;RHÔNE ALPES;0
751;750;ILE DE FRANCE;0
761;760;NORMANDIE;0
762;760;NORMANDIE;0
763;760;NORMANDIE;0
764;760;NORMANDIE;0
771;750;ILE DE FRANCE;0
781;750;ILE DE FRANCE;0
791;870;LIMOUSIN-POITOU CHARENTES;0
801;590;NORD PAS DE CALAIS - PICARDIE;0
811;310;MIDI PYRENEES;0
821;310;MIDI PYRENEES;0
831;130;PROVENCE CÔTE D'AZUR-CORSE;0
841;130;PROVENCE CÔTE D'AZUR-CORSE;0
851;440;PAYS DE LA LOIRE;0
861;870;LIMOUSIN-POITOU CHARENTES;0
871;870;LIMOUSIN-POITOU CHARENTES;0
881;540;NORD EST;0
891;210;BOURGOGNE FRANCHE COMTE;0
901;210;BOURGOGNE FRANCHE COMTE;0
911;750;ILE DE FRANCE;0
921;750;ILE DE FRANCE;0
931;750;ILE DE FRANCE;0
941;750;ILE DE FRANCE;0
951;750;ILE DE FRANCE;0
971;971;GUADELOUPE;0
972;972;MARTINIQUE;0
973;973;GUYANE;0
974;974;RÉUNION;0
999;999;Valeur inconnue;1
