APP_APP_COD;TLS_EVT_COD;INF_002;INF_003;TLS_DAT_VAL;FCT_COD;TEC_COL
VP_J;connexion_ok;CPS;;24JAN2011:00:00:00;cnx01;0
VP_J;connexion_ok;login;;24JAN2011:00:00:00;cnx02;0
VP_J;consulter_ape_entree;;;29NOV2011:00:00:00;ape03;0
VP_J;consulter_ape_sortie;;;29NOV2011:00:00:00;ape04;0
VP_J;creation_ape_entree;;;29NOV2011:00:00:00;ape02;0
VP_J;creation_ape_sortie;;;29NOV2011:00:00:00;ape01;0
VP_J;ws_ok;ALDWS;getListeAld;24JAN2011:00:00:00;ws01;0
VP_J;ws_ok;AutorisationVitale;Demande;18JUL2012:00:00:00;ws52;0
VP_J;ws_ok;AutorisationVitale;Verification;18JUL2012:00:00:00;ws53;0
VP_J;ws_ok;EOWS;transmettreDeclarationMt;18JUL2012:00:00:00;dmt02;0
VP_J;ws_ok;PSEWS;getListePse;24JAN2011:00:00:00;ws02;0
VP_J;ws_ok;PSSWS;getListePss;24JAN2011:00:00:00;ws03;0
VP_J;ws_ok;PSSWS;getPdfPSS;18JUL2012:00:00:00;ws45;0
VP_J;ws_ok;R5WSExterne;lireDetailPaiementTiersPayant;24JAN2011:00:00:00;ws17;0
VP_J;ws_ok;R5WSExterne;lireListePaiementTiersPayantParActe;24JAN2011:00:00:00;ws18;0
VP_J;ws_ok;R5WSExterne;lireListePaiementTiersPayantParBeneficiaire;24JAN2011:00:00:00;ws19;0
VP_J;ws_ok;R5WSExterne;lireListePaiementTiersPayantParDateEtOrganisme;24JAN2011:00:00:00;ws21;0
VP_J;ws_ok;R5WSExterne;lireListePaiementTiersPayantParDate;24JAN2011:00:00:00;ws20;0
VP_J;ws_ok;R5WSExterne;lireListePaiementTiersPayantParNumero;24JAN2011:00:00:00;ws22;0
VP_J;ws_ok;R5WSExterne;lireListeRemALD;24JAN2011:00:00:00;ws23;0
VP_J;ws_ok;R5WSExterne;rechercheListePatients;24JAN2011:00:00:00;ws24;0
VP_J;ws_ok;R5WS;lireDetailPaiementTiersPayant;24JAN2011:00:00:00;ws04;0
VP_J;ws_ok;R5WS;lireListeAideTeletransmission;24JAN2011:00:00:00;ws05;0
VP_J;ws_ok;R5WS;lireListePaiementGEA;24JAN2011:00:00:00;ws06;0
VP_J;ws_ok;R5WS;lireListePaiementIndu;24JAN2011:00:00:00;ws07;0
VP_J;ws_ok;R5WS;lireListePaiementTiersPayantParActe;24JAN2011:00:00:00;ws08;0
