TLS_FCT_COD;TLS_FCT_LIB;SER_SER_COD;SER_SER_LIB;GRP_SER_COD;GRP_SER_LIB;TEC_COL
aat01;Transmission;SPA_A;Avis d Arrêt de Travail 5 clics;SPA;Service patient;0
aat02;Impression;SPA_A;Avis d Arrêt de Travail 5 clics;SPA;Service patient;0
aat03;Création formulaire;SPA_A;Avis d Arrêt de Travail 5 clics;SPA;Service patient;0
aat04;Transmission WS;SPA_A;Avis d Arrêt de Travail 5 clics;SPA;Service patient;0
ape01;Création APE entrée;SPA_B;Demande d accord préalable;SPA;Service patient;0
ape02;Création APE sortie;SPA_B;Demande d accord préalable;SPA;Service patient;0
ape03;Consultation APE entrée;SPA_B;Demande d accord préalable;SPA;Service patient;0
ape04;Consultation APE sortie;SPA_B;Demande d accord préalable;SPA;Service patient;0
boi01;Accès au service;BOI_A;Ameli.fr;BOI;Boîte à info;0
boi02;Accès au service;BOI_B;Nomenclature des actes CCAM;BOI;Boîte à info;0
boi03;Accès au service;BOI_C;Référentiels HAS;BOI;Boîte à info;0
cmd01;Accès au service;CMD_A;Commande de Test de diagnostic rapide angine;CMD;Commande;0
cmd02;Accès au service;CMD_B;Commander des imprimés;CMD;Commande;0
cmd03;Accès au service;CMD_C;Déclarer un parc de véhicule;CMD;Commande;0
cmd04;Accès au service;CMD_D;Formulaires en ligne;CMD;Commande;0
cmd05;Consultation d une commande;CMD_E;Historique des commandes;CMD;Commande;0
cmd06;Liste des commandes;CMD_E;Historique des commandes;CMD;Commande;0
cnx01;Connexion avec CPS;CNX_A;Connexion;CNX;Connexion;0
cnx02;Connexion avec identifiant / mot de passe;CNX_A;Connexion;CNX;Connexion;0
cnx03;Accès à la page;CNX_B;Page de maintenance;CNX;Connexion;0
cnx04;Demande de code professionnel;CNX_C;Page d inscription;CNX;Connexion;0
cnx05;?;CNX_F;?;CNX;Connexion;0
cnx06;?;CNX_E;?;CNX;Connexion;0
cnx07;?;CNX_G;?;CNX;Connexion;0
cnx08;Demande de code établissement;CNX_C;Page d inscription;CNX;Connexion;0
cnx09;Accès à la page;CNX_D;Question secrète;CNX;Connexion;0
cnx10;Accès à la page;CNX_J;Page de connexion;CNX;Connexion;0
cnx11;Affichage de l'encart;CNX_J;Page de connexion;CNX;Connexion;0
cnx12;Affichage de l'information sur le service;CNX_J;Page de connexion;CNX;Connexion;0
cnx13;?;CNX_J;Page de connexion;CNX;Connexion;0
cpt01;Accès à la page;CPT_A;Code d Accès;CPT;Gestion de compte;0
cpt02;Echec;CPT_A;Code d Accès;CPT;Gestion de compte;0
cpt03;Validation;CPT_A;Code d Accès;CPT;Gestion de compte;0
cpt04;Accès à la page;CPT_B;Informations professionnelles;CPT;Gestion de compte;0
cpt05;Accès à la page;CPT_C;Modification de son adresse électronique;CPT;Gestion de compte;0
cpt06;Validation;CPT_C;Modification de son adresse électronique;CPT;Gestion de compte;0
cpt07;Accès à la page;CPT_D;Question clé;CPT;Gestion de compte;0
cpt08;Validation;CPT_D;Question clé;CPT;Gestion de compte;0
cpt09;Confirmation de l inscription;CPT_E;Service info paiements;CPT;Gestion de compte;0
cpt10;Page d inscription;CPT_E;Service info paiements;CPT;Gestion de compte;0
cpt11;Code d'accès;CPT_F;Compte bloqué;CPT;Gestion de compte;0
cpt12;Demande de code;CPT_F;Compte bloqué;CPT;Gestion de compte;0
cpt13;Confirmation;CPT_F;Compte bloqué;CPT;Gestion de compte;0
cpt14;Validation du courriel : demande de code d'accès;CPT_F;Compte bloqué;CPT;Gestion de compte;0
dmt01;Accès au service;SPA_C;Déclaration de choix de médecin traitant;SPA;Service patient;0
dmt02;Transmission WS;SPA_C;Déclaration de choix de médecin traitant;SPA;Service patient;0
ech01;Accès à la page;ECH_A;Contacter l Assurance Maladie par courrier électro;ECH;Echanges;0
ech03;?;ECH_B;Modification de son adresse électronique;ECH;Echanges;0
ech04;?;ECH_C;Support technique;ECH;Echanges;0
ech05;Accès à la page;ECH_C;Support technique;ECH;Echanges;0
ech06;Accès à la page;ECH_D;Trouver un interlocuteur;ECH;Echanges;0
ech07;?;ECH_C;Support technique;ECH;Echanges;0
hre01;Consultation;SPA_D;Historique des remboursements;SPA;Service patient;0
idp01;Identification du patient avec CPS;IDP_A;Identification du patient;IDE;Identification du patient;0
idp02;Identification du patient avec NIR;IDP_A;Identification du patient;IDE;Identification du patient;0
pcx01;?;CNX_H;Première connexion avec CPS;CNX;Connexion;0
pcx02;?;CNX_I;Première connexion sans CPS;CNX;Connexion;0
pcx03;Demande de code d Accés;CNX_H;Première connexion avec CPS;CNX;Connexion;0
pcx04;?;CNX_I;Première connexion sans CPS;CNX;Connexion;0
pcx05;?;CNX_I;Première connexion sans CPS;CNX;Connexion;0
pcx06;Premiere connexion;CNX_I;Première connexion sans CPS;CNX;Connexion;0
pmt01;Accès à la page;PMT_A;Aides à la télétransmission;PMT;Paiements;0
pmt02;Accès à la page;PMT_B;Gardes et astreintes;PMT;Paiements;0
