PRA_SPE;PRA_SPE_RG1;PRA_SPE_RG2;PRA_SPE_RG3;PRA_SPE_RG4;TEC_COL
01;omni;;totmed;omni;0
02;chir;totspe;totmed;spe;0
03;autspe;totspe;totmed;spe;0
04;chir;totspe;totmed;spe;0
06;autspe;totspe;totmed;spe;0
07;autspe;totspe;totmed;spe;0
08;autspe;totspe;totmed;spe;0
05;autspe;totspe;totmed;spe;0
09;autspe;totspe;totmed;spe;0
10;chir;totspe;totmed;spe;0
11;autspe;totspe;totmed;spe;0
12;autspe;totspe;totmed;spe;0
13;autspe;totspe;totmed;spe;0
14;autspe;totspe;totmed;spe;0
15;autspe;totspe;totmed;spe;0
16;chir;totspe;totmed;spe;0
17;autspe;totspe;totmed;spe;0
18;autspe;totspe;totmed;spe;0
19;dent;;;spe;0
21;;;;;0
24;inf;;;spe;0
26;mk;;;spe;0
27;;;;;0
28;;;;;0
29;;;;;0
30;;;;;0
31;autspe;totspe;totmed;spe;0
32;autspe;totspe;totmed;spe;0
33;autspe;totspe;totmed;spe;0
35;autspe;totspe;totmed;spe;0
36;dent;;;spe;0
37;autspe;totspe;totmed;spe;0
38;;;;;0
39;;;;;0
41;chir;totspe;totmed;spe;0
42;autspe;totspe;totmed;spe;0
43;chir;totspe;totmed;spe;0
44;chir;totspe;totmed;spe;0
45;autspe;totspe;totmed;spe;0
46;chir;totspe;totmed;spe;0
47;chir;totspe;totmed;spe;0
48;chir;totspe;totmed;spe;0
49;chir;totspe;totmed;spe;0
55;;;;;0
56;;;;;0
70;autspe;totspe;totmed;spe;0
71;autspe;totspe;totmed;spe;0
72;autspe;totspe;totmed;spe;0
73;autspe;totspe;totmed;spe;0
74;autspe;totspe;totmed;spe;0
75;autspe;totspe;totmed;spe;0
76;autspe;totspe;totmed;spe;0
77;autspe;totspe;totmed;spe;0
78;autspe;totspe;totmed;spe;0
