CAI_IDE;GRG_COD;CAI_COD;CEN_COD;CAI_LIB;CAI_TYP;TEC_COL
1;1;751;0;CPAM de PARIS;PIVOT;0
2;2;371;0;TOURS;GESTIONNAIRE;0
3;2;372;0;TOURS;GESTIONNAIRE;0
4;2;375;0;TOURS;GESTIONNAIRE;0
5;2;381;0;GRENOBLE;GESTIONNAIRE;0
6;2;382;0;GRENOBLE;GESTIONNAIRE;0
7;2;385;0;GRENOBLE;GESTIONNAIRE;0
8;2;391;0;LONS LE SAUNIER;GESTIONNAIRE;0
9;2;395;0;LONS LE SAUNIER;GESTIONNAIRE;0
10;2;401;0;MONT DE MARSAN;GESTIONNAIRE;0
11;2;405;0;MONT DE MARSAN;GESTIONNAIRE;0
12;2;411;0;BLOIS;GESTIONNAIRE;0
13;2;412;0;BLOIS;GESTIONNAIRE;0
14;2;415;0;BLOIS;GESTIONNAIRE;0
15;2;421;0;SAINT PRIEST EN JAREZ;GESTIONNAIRE;0
16;2;425;0;SAINT PRIEST EN JAREZ;GESTIONNAIRE;0
17;2;431;0;LE PUY;GESTIONNAIRE;0
18;2;435;0;LE PUY;GESTIONNAIRE;0
19;2;441;0;NANTES;GESTIONNAIRE;0
20;2;442;0;NANTES;GESTIONNAIRE;0
21;2;445;0;NANTES;GESTIONNAIRE;0
22;2;451;0;ORLEANS;GESTIONNAIRE;0
23;2;452;0;ORLEANS;GESTIONNAIRE;0
24;2;455;0;ORLEANS;GESTIONNAIRE;0
25;2;461;0;CAHORS;GESTIONNAIRE;0
26;2;465;0;CAHORS;GESTIONNAIRE;0
27;2;471;0;MSA AGEN;GESTIONNAIRE;0
28;2;472;0;MSA AGEN;GESTIONNAIRE;0
29;2;475;0;AGEN;GESTIONNAIRE;0
30;2;481;0;MENDE;GESTIONNAIRE;0
31;2;485;0;MENDE;GESTIONNAIRE;0
32;2;491;0;MSA de Maine et Loire;GESTIONNAIRE;0
33;2;492;0;ANGERS;GESTIONNAIRE;0
34;2;495;0;ANGERS;GESTIONNAIRE;0
35;2;501;0;SAINT LO;GESTIONNAIRE;0
36;2;502;0;SAINT LO;GESTIONNAIRE;0
37;2;505;0;SAINT LO;GESTIONNAIRE;0
38;2;511;0;REIMS;GESTIONNAIRE;0
39;2;512;0;CHALONS/MARNE;GESTIONNAIRE;0
40;2;515;0;REIMS;GESTIONNAIRE;0
41;2;521;0;CHAUMONT;GESTIONNAIRE;0
42;2;525;0;CHAUMONT;GESTIONNAIRE;0
43;2;531;0;LAVAL;GESTIONNAIRE;0
44;2;532;0;LAVAL;GESTIONNAIRE;0
45;2;535;0;LAVAL;GESTIONNAIRE;0
46;2;541;0;VANDOEUVRE L/NANCY;GESTIONNAIRE;0
47;2;542;0;NANCY;GESTIONNAIRE;0
48;2;545;0;VANDOEUVRE L/NANCY;GESTIONNAIRE;0
49;2;551;0;VERDUN;GESTIONNAIRE;0
50;2;555;0;VERDUN;GESTIONNAIRE;0
51;2;561;0;VANNES;GESTIONNAIRE;0
52;2;562;0;LORIENT;GESTIONNAIRE;0
53;2;565;0;VANNES;GESTIONNAIRE;0
54;2;571;0;METZ;GESTIONNAIRE;0
55;2;575;0;METZ;GESTIONNAIRE;0
56;2;581;0;NEVERS;GESTIONNAIRE;0
57;2;582;0;NEVERS;GESTIONNAIRE;0
58;2;585;0;NEVERS;GESTIONNAIRE;0
59;2;591;0;LILLE;GESTIONNAIRE;0
60;2;592;0;LILLE;GESTIONNAIRE;0
61;2;595;0;LILLE;GESTIONNAIRE;0
62;2;601;0;BEAUVAIS;GESTIONNAIRE;0
63;2;605;0;BEAUVAIS;GESTIONNAIRE;0
64;2;611;0;ALENCON;GESTIONNAIRE;0
65;2;612;0;ALENCON;GESTIONNAIRE;0
66;2;615;0;ALENCON;GESTIONNAIRE;0
67;2;621;0;ARRAS;GESTIONNAIRE;0
68;2;622;0;ARRAS;GESTIONNAIRE;0
69;2;625;0;ARRAS;GESTIONNAIRE;0
70;2;631;0;CLERMONT FERRAND;GESTIONNAIRE;0
71;2;632;0;CLERMONT-FERRAND;GESTIONNAIRE;0
72;2;635;0;CLERMONT FERRAND;GESTIONNAIRE;0
73;2;641;0;PAU;GESTIONNAIRE;0
74;2;642;0;PAU;GESTIONNAIRE;0
75;2;645;0;PAU;GESTIONNAIRE;0
76;2;651;0;TARBES;GESTIONNAIRE;0
77;2;652;0;TARBES;GESTIONNAIRE;0
78;2;655;0;TARBES;GESTIONNAIRE;0
79;2;661;0;PERPIGNAN;GESTIONNAIRE;0
80;2;662;0;PERPIGNAN;GESTIONNAIRE;0
81;2;665;0;PERPIGNAN;GESTIONNAIRE;0
82;2;671;0;STRASBOURG;GESTIONNAIRE;0
83;2;672;0;STRASBOURG;GESTIONNAIRE;0
84;2;675;0;STRASBOURG;GESTIONNAIRE;0
85;2;681;0;COLMAR;GESTIONNAIRE;0
86;2;685;0;COLMAR;GESTIONNAIRE;0
87;2;691;0;LYON;GESTIONNAIRE;0
88;2;692;0;LYON;GESTIONNAIRE;0
89;2;695;0;LYON;GESTIONNAIRE;0
90;2;701;0;VESOUL;GESTIONNAIRE;0
91;2;705;0;VESOUL;GESTIONNAIRE;0
92;2;711;0;MACON;GESTIONNAIRE;0
93;2;712;0;MACON;GESTIONNAIRE;0
94;2;715;0;MACON;GESTIONNAIRE;0
95;2;721;0;LE MANS;GESTIONNAIRE;0
96;2;722;0;LE MANS;GESTIONNAIRE;0
97;2;725;0;LE MANS;GESTIONNAIRE;0
98;2;731;0;CHAMBERY;GESTIONNAIRE;0
99;2;735;0;CHAMBERY;GESTIONNAIRE;0
100;2;741;0;ANNECY;GESTIONNAIRE;0
101;2;745;0;ANNECY;GESTIONNAIRE;0
102;2;751;0;MSA PARIS;GESTIONNAIRE;0
103;2;755;0;MSA PARIS;GESTIONNAIRE;0
104;2;761;0;BOIS GUILLAUME;GESTIONNAIRE;0
105;2;762;0;ROUEN;GESTIONNAIRE;0
106;2;765;0;BOIS GUILLAUME;GESTIONNAIRE;0
107;2;791;0;NIORT;GESTIONNAIRE;0
108;2;792;0;NIORT;GESTIONNAIRE;0
109;2;795;0;NIORT;GESTIONNAIRE;0
110;2;801;0;AMIENS;GESTIONNAIRE;0
111;2;802;0;AMIENS;GESTIONNAIRE;0
112;2;805;0;AMIENS;GESTIONNAIRE;0
113;2;811;0;ALBI;GESTIONNAIRE;0
114;2;812;0;ALBI;GESTIONNAIRE;0
115;2;815;0;MSA ALBI;GESTIONNAIRE;0
116;2;821;0;MONTAUBAN;GESTIONNAIRE;0
117;2;822;0;MONTAUBAN;GESTIONNAIRE;0
118;2;825;0;MONTAUBAN;GESTIONNAIRE;0
119;2;831;0;DRAGUIGNAN;GESTIONNAIRE;0
120;2;832;0;TOULON;GESTIONNAIRE;0
121;2;835;0;DRAGUIGNAN;GESTIONNAIRE;0
122;2;841;0;AVIGNON;GESTIONNAIRE;0
123;2;842;0;AVIGNON;GESTIONNAIRE;0
124;2;845;0;AVIGNON;GESTIONNAIRE;0
125;2;851;0;LA ROCHE S/YON;GESTIONNAIRE;0
126;2;852;0;LA ROCHE S/YON;GESTIONNAIRE;0
127;2;855;0;LA ROCHE S/YON;GESTIONNAIRE;0
128;2;861;0;POITIERS;GESTIONNAIRE;0
129;2;862;0;POITIERS;GESTIONNAIRE;0
130;2;865;0;POITIERS;GESTIONNAIRE;0
131;2;871;0;LIMOGES;GESTIONNAIRE;0
132;2;872;0;LIMOGES;GESTIONNAIRE;0
133;2;875;0;LIMOGES;GESTIONNAIRE;0
134;2;881;0;EPINAL;GESTIONNAIRE;0
135;2;885;0;EPINAL;GESTIONNAIRE;0
136;2;891;0;AUXERRE;GESTIONNAIRE;0
137;2;892;0;AUXERRE;GESTIONNAIRE;0
138;2;895;0;AUXERRE;GESTIONNAIRE;0
139;2;971;0;POINTE A PITRE;GESTIONNAIRE;0
140;2;992;0;AJACCIO;GESTIONNAIRE;0
141;3;1;1100;R.A.M. (ALPES);GESTIONNAIRE;0
142;3;1;1200;R.A.M. (ALPES);GESTIONNAIRE;0
143;3;1;4200;ADREA MUTUELLE PI PAYS DE SAVOIE;GESTIONNAIRE;0
144;3;1;5200;MUTUELLE EXISTENCE;GESTIONNAIRE;0
145;3;1;5400;EOVI MUTUELLE DROME ARPICA;GESTIONNAIRE;0
146;3;3;1100;R.A.M. (ALSACE);GESTIONNAIRE;0
147;3;3;1200;R.A.M. (ALSACE);GESTIONNAIRE;0
148;3;11;1200;R.A.M. (BRETAGNE);GESTIONNAIRE;0
149;3;11;1300;R.A.M (BRETAGNE);GESTIONNAIRE;0
150;3;13;1100;R.A.M. (CENTRE);GESTIONNAIRE;0
151;3;19;1100;R.A.M. (FRANCHE COMTE);GESTIONNAIRE;0
152;3;3;3100;LA PREVOYANCE ARTISANALE COMMERCIALE ET SALARIALE;GESTIONNAIRE;0
153;3;3;3200;CAISSE DE PREVOYANCE MULHOUSIENNE (ALSACE);GESTIONNAIRE;0
154;3;5;1100;R.A.M. (AQUITAINE);GESTIONNAIRE;0
155;3;5;1200;R.A.M.  (AQUITAINE);GESTIONNAIRE;0
156;3;5;1300;R.A.M (AQUITAINE);GESTIONNAIRE;0
157;3;5;4100;MUTUELLE DE FRANCE SUD;GESTIONNAIRE;0
158;3;5;5100;UNION MTNS SUD-OUEST;GESTIONNAIRE;0
159;3;5;5200;UNION MTNS SUD-OUEST;GESTIONNAIRE;0
160;3;5;5300;MUTUELLE DES LANDES (AQUITAINE);GESTIONNAIRE;0
161;3;5;5400;OREADE PREVIFRANCE;GESTIONNAIRE;0
162;3;5;5500;UNION MTNS SUD-OUEST;GESTIONNAIRE;0
163;3;7;1100;R.A.M. (AUVERGNE);GESTIONNAIRE;0
164;3;7;1200;R.A.M. (AUVERGNE);GESTIONNAIRE;0
165;3;11;1100;R.A.M. (DE BRETAGNE);GESTIONNAIRE;0
166;3;13;5200;HARMONIE MUTUALITE;GESTIONNAIRE;0
167;3;7;3200;MUTUELLE PRECOCIA (AUVERGNE);GESTIONNAIRE;0
168;3;7;5100;HARMONIE MUTUALITE;GESTIONNAIRE;0
169;3;7;5200;ADREA MUTUELLE PI CENTRE AUVERGNE;GESTIONNAIRE;0
170;3;7;5300;MUTUALITE FRANCAISE DU CANTAL;GESTIONNAIRE;0
171;3;7;5400;UNION DES TRAVAILLEURS INDEPENDANTS MUTUALISTES DE LA HAUTE LOIRE;GESTIONNAIRE;0
172;3;9;1100;R.A.M. (BOURGOGNE);GESTIONNAIRE;0
173;3;9;3100;RADIANCE BOURGOGNE;GESTIONNAIRE;0
174;3;9;5200;PREVADIES;GESTIONNAIRE;0
175;3;9;5300;M.U.T.I.S. RADIANCE (BOURGOGNE);GESTIONNAIRE;0
176;3;9;5400;M.C.I.P.L.S. MUTUELLE ACTION (BOURGOGNE);GESTIONNAIRE;0
177;3;9;5500;SPHERIA-VAL DE FRANCE;GESTIONNAIRE;0
178;3;9;5600;ADREA MUTUELLE PI BOURGOGNE;GESTIONNAIRE;0
179;3;11;5100;PREVADIES;GESTIONNAIRE;0
180;3;11;5200;PREVADIES;GESTIONNAIRE;0
181;3;11;5300;MBA RADIANCE;GESTIONNAIRE;0
182;3;19;3200;M.U.T.I. DE FRANCHE COMTE (FRANCHE COMTE);GESTIONNAIRE;0
183;3;19;5100;MUTUELLE JURASSIENNE (FRANCHE COMTE);GESTIONNAIRE;0
184;3;21;1100;R.A.M. (LANGUEDOC ROUSSILLON);GESTIONNAIRE;0
185;3;11;5400;SMPIV - RADIANCE (BRETAGNE);GESTIONNAIRE;0
186;3;13;5100;HARMONIE MUTUALITE;GESTIONNAIRE;0
187;3;13;5500;SPHERIA-VAL DE FRANCE (CENTRE);GESTIONNAIRE;0
188;3;13;5800;C.P.S.A.C. DE L INDRE (CENTRE);GESTIONNAIRE;0
189;3;15;1100;R.A.M. (CHAMPAGNE ARDENNE);GESTIONNAIRE;0
190;3;15;1200;R.A.M. (CHAMPAGNE ARDENNE);GESTIONNAIRE;0
191;3;15;5500;MUTUELLE SANTE DES INDEPENDANTS (CHAMPAGNE ARDENNE);GESTIONNAIRE;0
192;3;17;1100;R.A.M. (DE LA COTE AZUR);GESTIONNAIRE;0
193;3;17;1200;R.A.M. (COTE D AZUR);GESTIONNAIRE;0
194;3;17;1300;R.A.M (COTE D AZUR);GESTIONNAIRE;0
195;3;17;5100;MUTUELLE SANTE (COTE D AZUR);GESTIONNAIRE;0
196;3;17;5200;LES MUTUELLES DU SOLEIL;GESTIONNAIRE;0
197;3;19;5200;PREVADIES;GESTIONNAIRE;0
198;3;21;1200;R.A.M. (LANGUEDOC ROUSSILLON);GESTIONNAIRE;0
199;3;21;3100;MUTUELLES DU SOLEIL;GESTIONNAIRE;0
200;3;21;3200;OREADE PREVIFRANCE;GESTIONNAIRE;0
201;3;21;5100;ORASANTE  (LANGUEDOC ROUSSILLON);GESTIONNAIRE;0
202;3;21;5400;ADREA MUTUELLE PI UNILIA;GESTIONNAIRE;0
203;3;21;5500;UTIM LR-MP;GESTIONNAIRE;0
204;3;23;1100;R.A.M (DU LIMOUSIN);GESTIONNAIRE;0
205;3;23;1200;R.A.M. (LIMOUSIN);GESTIONNAIRE;0
206;3;23;1300;R.A.M (LIMOUSIN);GESTIONNAIRE;0
207;3;23;5100;OREADE PREVIFRANCE;GESTIONNAIRE;0
208;3;23;5200;SANTEVIE - PROFESSIONS INDEPENDANTES;GESTIONNAIRE;0
209;3;25;1100;R.A.M. (LORRAINE);GESTIONNAIRE;0
210;3;25;1200;R.A.M. (LORRAINE);GESTIONNAIRE;0
211;3;25;3100;S.M.U.T.I. DE L EST (LORRAINE);GESTIONNAIRE;0
212;3;25;5100;MUCIM-STANISLAS;GESTIONNAIRE;0
213;3;25;5200;S.M.A.C.I. DES VOSGES (LORRAINE);GESTIONNAIRE;0
214;3;25;5400;MUTUELLE BLEUE;GESTIONNAIRE;0
215;3;27;1100;R.A.M. (MIDI PYRENEES);GESTIONNAIRE;0
216;3;27;1200;R.A.M. (MIDI PYRENEES);GESTIONNAIRE;0
217;3;29;1100;R.AM. (BASSE NORMANDIE);GESTIONNAIRE;0
218;3;39;1100;R.A.M. (PICARDIE);GESTIONNAIRE;0
219;3;39;1300;R.A.M (PICARDIE);GESTIONNAIRE;0
220;3;39;3100;RADIANCE PICARDIE;GESTIONNAIRE;0
221;3;27;1300;R.A.M (MIDI PYRENEES);GESTIONNAIRE;0
222;3;27;2100;MUTUELLE BLEUE (MIDI PYRENEES);GESTIONNAIRE;0
223;3;27;4100;MUTUELLE DE FRANCE SUD;GESTIONNAIRE;0
224;3;21;4100;SANTE VIE PROFESSIONS INDEPENDANTES;GESTIONNAIRE;0
225;3;27;4300;OREADE PREVIFRANCE;GESTIONNAIRE;0
226;3;27;4400;UNION MTNS SUD-OUEST;GESTIONNAIRE;0
227;3;27;5100;UTIM LR-MP;GESTIONNAIRE;0
228;3;27;5200;MUTUALITE SANTEVIE - UMT (MIDI PYRENEES);GESTIONNAIRE;0
229;3;27;5400;MUTUALITE SANTEVIE - MTG (MIDI PYRENEES);GESTIONNAIRE;0
230;3;29;1200;R.A.M. (BASSE NORMANDIE);GESTIONNAIRE;0
231;3;29;1300;R.A.M (BASSE NORMANDIE);GESTIONNAIRE;0
232;3;29;3100;C.M.P.I. RADIANCE (HAUTE NORMANDIE);GESTIONNAIRE;0
233;3;29;3400;ADREA MUTUELLE PI MUTI;GESTIONNAIRE;0
234;3;31;1100;R.A.M. (DE HAUTE NORMANDIE);GESTIONNAIRE;0
235;3;31;1200;R.A.M. (HAUTE NORMANDIE);GESTIONNAIRE;0
236;3;31;1300;R.A.M (HAUTE NORMANDIE);GESTIONNAIRE;0
237;3;33;1100;R.A.M. (NORD);GESTIONNAIRE;0
238;3;35;1100;R.A.M. (PAS DE CALAIS);GESTIONNAIRE;0
239;3;37;5100;HARMONIE MUTUALITE;GESTIONNAIRE;0
240;3;31;3100;PREVADIES;GESTIONNAIRE;0
241;3;33;1200;R.A.M. (NORD);GESTIONNAIRE;0
242;3;33;3100;MUTUELLE LA FAMILLE (NORD);GESTIONNAIRE;0
243;3;33;3200;C.M.P.A.C.N. RADIDANCE (NORD);GESTIONNAIRE;0
244;3;33;3400;JUST ENSEMBLE (NORD);GESTIONNAIRE;0
245;3;35;3100;CMP RADIANCE;GESTIONNAIRE;0
246;3;37;1100;R.A.M. (PAYS DE LA LOIRE);GESTIONNAIRE;0
247;3;37;1200;R.A.M. (PAYS DE LA LOIRE);GESTIONNAIRE;0
248;3;37;1300;R.A.M (PAYS DE LA LOIRE);GESTIONNAIRE;0
249;3;37;5200;HARMONIE MUTUALITE;GESTIONNAIRE;0
250;3;37;5300;PREVADIES;GESTIONNAIRE;0
251;3;37;5400;PREVADIES;GESTIONNAIRE;0
252;3;37;5500;HARMONIE MUTUALITE;GESTIONNAIRE;0
253;3;39;3200;S.I.M.S.A. MUTUELLE ACTION (PICARDIE);GESTIONNAIRE;0
254;3;41;1100;R.A.M (DU POITOU ET DES CHARENTES);GESTIONNAIRE;0
255;3;41;1200;R.A.M. (POITOU CHARENTES);GESTIONNAIRE;0
256;3;43;5100;MUTUELLE DE FRANCE SUD;GESTIONNAIRE;0
257;3;45;3200;RADIANCE  RHONE ALPES;GESTIONNAIRE;0
258;3;45;4200;ADREA MUTUELLE PI AMAD RHONE;GESTIONNAIRE;0
259;3;41;1300;R.A.M (POITOU CHARENTES);GESTIONNAIRE;0
260;3;41;3200;MBA RADIANCE;GESTIONNAIRE;0
261;3;41;4100;MUTUELLE S.M.I.P. (POITOU CHARENTES);GESTIONNAIRE;0
262;3;41;5400;HARMONIE MUTUALITE;GESTIONNAIRE;0
263;3;41;5500;UMCAPI;GESTIONNAIRE;0
264;3;43;1100;R.A.M. (PROVENCE);GESTIONNAIRE;0
265;3;43;1200;R.A.M. (PROVENCE);GESTIONNAIRE;0
266;3;43;1300;R.A.M (PROVENCE);GESTIONNAIRE;0
267;3;43;4300;LES MUTUELLES DU SOLEIL (PROVENCE);GESTIONNAIRE;0
268;3;43;5200;NOVALIA REGIME OBLIGATOIRE;GESTIONNAIRE;0
269;3;43;5300;M.C.M. LES MUTUELLES DU SOLEIL (PROVENCE);GESTIONNAIRE;0
270;3;45;1100;R.A.M (RHONE);GESTIONNAIRE;0
271;3;45;3300;EOVI MUTUELLES PRESENCE;GESTIONNAIRE;0
272;3;45;3400;MUTUELLE EXISTENCE;GESTIONNAIRE;0
273;3;45;5100;ADREA MUTUELLE PI PAYS DE L AIN;GESTIONNAIRE;0
274;3;45;5200;EOVI MUTUELLE DROME ARPICA;GESTIONNAIRE;0
275;3;47;1100;R.A.M (ILE DE FRANCE);GESTIONNAIRE;0
276;3;50;3200;PREVADIES-CAMPI IDF;GESTIONNAIRE;0
277;3;47;1300;R.A.M (PROF. INDUST. COMM. ILE DE FRANCE);GESTIONNAIRE;0
278;3;47;2100;MUTUELLE BLEUE (PROF. INDUST. COMM. ILE DE FRANCE);GESTIONNAIRE;0
279;3;47;3100;AVENIR SANTE MUTUELLE;GESTIONNAIRE;0
280;3;47;3200;PREVADIES- CAMPI IDF;GESTIONNAIRE;0
