ACTE;LIB_ACTE
4;HISTOPATH. BIOPSIES UNIQUES OU MULTIPLES NON INDIVIDUALISEES
5;HISTOPATH. BIOPSIES ETAGEES SUR MEME ORGANE ET INDIVIDUALISEES
6;HISTOPATH. PIECE OPER. INTERESSANT UN ORGANE
7;HISTOPATH. PRELEV. RESEC. OU CURETAGE ENDOSC. OU ENDOCAVIT.
8;HISTOPATH. PIECE OPER. COMPLEXE COMPORTANT PLUSIEURS ORGANES
12;EX. EXTEMPORANE AVEC CONTROLE HISTOPATH. ULTERIEUR
13;CYTOPATH. GYNECOLOGIQUE UN OU PLUSIEURS PRELEVEMENTS (FROTTIS)
14;CYTOPATH. LIQ. EPANCHEMENT, LAVAGE ALVEOLAIRE OU VESICAL, LCR
15;CYTOPATH. SUR PONCTION GANGLION, TUMEUR, ORGANE
16;CYTOPATH. SUR PONCTIONS PLUSIEURS ZONES DE VOISINAGE
17;ANAPATH. : IMMUNOHISTOCHIMIE SUR COUPES EN PARAFFINE OU RESINE
18;ANAPATH. : IMMUNOHISTOCHIMIE SUR COUPES A CONGELATION
21;MAJORATION PROVISOIRE CONVENTIONNELLE  QUI S'AJOUTE A LA COTATION DE L'ACTE  0008 UNIQUEMENT POUR L
22;MAJORATION PROVISOIRE QUI S'AJOUTE A LA COTATION DE L'ACTE 0008 UNIQUEMENT POUR LES DIAGNOSTICS HIS
23;EXAMEN IMMUNOCYTOCHIMIQUE DE L'ETALEMENT D'UN PRODUIT DE PONCTION D'UN ORGANE OU D'UN PRODUIT D'AS
24;TEST DE DETECTION DU GENOME (ADN) DES PAPILLOMAVIRUS HUMAINS ONCOGENES. INDICATION : SELON LES RECO
25;EXAMEN ANATOMOPATHOLOGIQUE PAR  HYBRIDATION IN SITU. INDICATION : SELON LES RECOMMANDATIONS  DE BO
40;CARYOTYPE CONSTITUTIONNEL PRENATAL :  TECHNIQUES AVEC INCUBATION SANS  CHANGEMENT DE MILIEU. LES C
41;CARYOTYPE CONSTITUTIONNEL PRENATAL : TECHNIQUES AVEC CULTURE (LIQUIDE AMNIOTIQUE, CULTURES DE VILLO
54;CONGELATION D'EMBRYONS ( PAR CYCLE)
59;PREPARATION DES SPERMATOZOIDES EN VUE  D'INSEMINATION ARTIFICIELLE  INTRA-UTERINE  (IIU)
60;FECONDATION IN VITRO SANS MICROMANIPULATION Y COMPRIS LA CULTURE OVOCYTAIRE, LA PREPARATION DES SP
61;FECONDATION IN VITRO PAR MICROMANIPULATION (ICSI). CET ACTE COMPREND LES MEMES ELEMENTS QUE LA FIV
