GRP;LIB_GRP
90;AUTRES (tous les autres codes)
27;DPN (marqueur risque T21) + CARYOTYPE FOETAL
28;AMP BIOLOGIE INTERVENTIONNELLE
2;COAGULATION COURANTE
17;MICROBIOLOGIE COURANTE
25;INFECTIONS A MYCOBACTERIES
13;MARQUEURS TUMORAUX
12;PROTEINES SERIQUES
19;HEPATITES VIRALES
15;HORMONOLOGIE COURANTE
18;INFECTIONS A VIH
4;BIOCHIMIE COURANTE (en dehors des groupes)
6;EXPLORATION GLUCIDIQUE
7;EXPLORATION HEPATIQUE
8;EXPLORATION CARDIAQUE
10;FER - FERRITINE
11;IONOGRAMMES
5;EXPLORATION LIPIDIQUE
9;EXPLORATION THYROIDIENNE
14;ALLERGOLOGIE
22;INFECTIONS A EBV
1;HEMATOLOGIE COURANTE
3;IMMUNOHEMATOLOGIE COURANTE
24;SYPHILIS
26;INFECTIONS A CHLAMYDIA
23;TOXOPLASMOSE
21;INFECTIONS A CMV
20;RUBEOLE
16;DHEA ET DERIVES
29;DISPOSITIONS GENERALES
