CODE_LPP;LIB_CODE_LPP
1100229;FRA-38, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 1.31 INVACARE PLATINUM 9
1100614;FRA-94, VENTILATION ASSISTEE, > OU = 12 HEURES + OLT 2.16. INOGEN ONE G2
1101950;FRA-12, VENTILATION ASSISTEE, TRACHEOTOMISES + OXYGENO OCT 3.00 COURT TERME
1102375;ASPIRATEUR TRACHEAL, FORFAIT DE LIVRAISON A DOMICILE
1103015;FRA-106, HYPERINSUFFLA OU IN-EXSUFFLATIONS + OLT 2.18 CAIRE, ECLIPSE 3
1103156;FRA-47, PPC, APNEE SOM, 9.4 + OXYGENO OLT 2.12 ULTRAFILL
1103720;FRA-44, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 2.12 PHILIPS ULTRAFILL
1105184;FRA-63, HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OXYG OLT 2.15 PHILIPS SIMPLYGO
1106485;ASPIRATEUR TRACHEAL, LOCATION HEBDOMADAIRE > 65 SEMAINES
1107579;FRA-16, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 1.00 POSTE FIXE
1108917;FRA-122, VENTILATION ASSISTEE, > OU = 12 HEURES + OLT 2.19. INOGEN ONE G3
1116680;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, CAIRE, ECLIPSE 3, OLT 2.18
1116880;FRA-10, VENTILATION ASSISTEE, TRACHEOTOMISES + OXYGENO OLT 1.00 POSTE FIXE
1118324;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, PHILIPS, SIMPLYGO, OLT 2.15
1118614;FRA-102, PPC, APNEE SOM, 9.4 + OXYG OLT 2.16 SCALEO INOGEN ONE G2
1118904;FRA-65, PPC, APNEE SOM, 9.4 + OXYG OLT 2.15 PHILIPS SIMPLYGO
1119134;FRA-105, VENTILATION ASSISTEE, < 12 HEURES + OLT 2.18 CAIRE, ECLIPSE 3
1120338;OXYGENOTHERAPIE LONG TERME, DEAMBULATION, INVACARE, HOMEFILL II, OLT 2.11
1121421;FRA-34, TRACHEOTOMIE SANS VENTILATION + OXYG OLT 2.11 INVACARE HOMEFILL II
1122053;FRA-14, VENTIL ASSISTEE, > OU = 12 HEURES + OXYGENO OLT 2.00 OXYGENE LIQUIDE
1123242;FRA-133,HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OXYGENO ODYSP 3.30 DYSPNEE
1123414;FRA-33, HYPERINSUFFLA OU IN-EXSUFFLATIONS + OLT 2.11 INVACARE HOMEFILL II
1123609;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, RESMED, LIFECHOICE ACTIVOX, OLT 2.20
