sc1;LIB_sc1
1_1;DM, MATERIELS ET PRODUITS POUR LE TRAITEMENT DE PATHOLOGIES SPECIFIQUES
1_2;DM DE MAINTIEN A DOMICILE ET D AIDE A LA VIE POUR MALADES ET HANDICAPE
1_3;ARTICLES POUR PANSEMENTS, MATERIELS DE CONTENTION
1_4;ACCESSOIRES DE PRODUITS INSCRITS AU TITRE III
1_5;CODES ARRIVES A ECHEANCE
2_1;ORTHESES
2_2;OPTIQUE MEDICALE
2_3;AUDIOPROTHESES ET ENTRETIEN, REPARATIONS ET ACCESSOIRES POUR PROCESSEUR
2_4;PROTHESES EXTERNES NON ORTHOPEDIQUES
2_5;PROTHESES OCULAIRES ET FACIALES
2_6;PODO-ORTHESES
3_1;DMI D ORIGINE SYNTHETIQUE
3_2;DMI ISSUS DE DERIVES ORIGINE ANIMALE NON VIABLES OU EN COMPORTANT
3_3;IMPLANTS ISSUS DE DERIVES HUMAINS-GREFFONS
3_4;DISPOSITIFS MEDICAUX IMPLANTABLES ACTIFS
4_1;FAUTEUILS ROULANTS
4_2;VEHICULES DIVERS
4_3;ADJONCTIONS, OPTIONS ET REPARATIONS APPLICABLES AUX FAUTEUILS ROULANTS
5_2;DISPOSITIFS MEDICAUX UTILISES DANS LE SYST CARDIO-VASCULAIRE
9_1;APPAREIL GENERATEUR D AEROSOL
9_2;ORTHESES (PETIT APPAREILLAGE) (CHAP.1)
9_3;ORTHOPROTHESES(CHAP.7)
5_1;DISPOSITIFS MEDICAUX UTILISES EN NEUROLOGIE
3_5;CODES ARRIVES A ECHEANCE
