ATC2;Libelle ATC2
A01;PREPARATIONS STOMATOLOGIQUES
A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE
A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX
A04;ANTIEMETIQUES ET ANTINAUSEEUX
A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE
A06;LAXATIFS
A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX
A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES
A10;MEDICAMENTS DU DIABETE
A11;VITAMINES
A12;SUPPLEMENTS MINERAUX
A13;TONIQUES
A14;ANABOLISANTS A USAGE SYSTEMIQUE
A15;STIMULANTS DE L'APPETIT
A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME
B01;ANTITHROMBOTIQUES
B02;ANTIHEMMORRAGIQUES
B03;PREPARATIONS ANTIANEMIQUES
B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION
C01;MEDICAMENTS EN CARDIOLOGIE
C02;ANTIHYPERTENSEURS
C03;DIURETIQUES
C04;VASODILATATEURS PERIPHERIQUES
C05;VASCULOPROTECTEURS
C07;BETABLOQUANTS
C08;INHIBITEURS CALCIQUES
C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
C10;AGENTS MODIFIANT LES LIPIDES
D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE
D02;EMOLLIENTS ET PROTECTEURS
D03;PREPARATIONS POUR LE TRAITEMENT DES PLAIES ET ULCERES
D04;ANTIPRURIGINEUX, INCLUANT ANTIHISTAMINIQUES, ANESTHESIQUES, ETC
D05;MEDICAMENTS CONTRE LE PSORIASIS
D06;ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE
D07;CORTICOIDES, PREPARATIONS DERMATOLOGIQUES
D08;ANTISEPTIQUES ET DESINFECTANTS
D09;PANSEMENTS MEDICAMENTEUX
D10;PREPARATIONS ANTIACNEIQUES
D11;AUTRES PREPARATIONS DERMATOLOGIQUES
G01;ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE
G02;AUTRES MEDICAMENTS GYNECOLOGIQUES
G03;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE
G04;MEDICAMENTS UROLOGIQUES
H01;HORMONES HYPOPHYSAIRES,HYPOTHALAMIQUES ET ANALOGUES
H02;CORTICOIDES A USAGE SYSTEMIQUE
H03;MEDICAMENTS DE LA THYROIDE
H04;HORMONES PANCREATIQUES
H05;MEDICAMENTS DE L'EQUILIBRE CALCIQUE
J01;ANTIBACTERIENS A USAGE SYSTEMIQUE
J02;ANTIMYCOSIQUES A USAGE SYSTEMIQUE
J04;ANTIMYCOBACTERIENS
J05;ANTIVIRAUX A USAGE SYSTEMIQUE
J06;IMMUNSERUMS ET IMMUNOGLOBULINES
J07;VACCINS
L01;ANTINEOPLASIQUES
L02;THERAPEUTIQUE ENDOCRINE
L03;IMMUNOSTIMULANTS
L04;IMMUNOSUPPRESSEURS
M01;ANTIINFLAMMATOIRES ET ANTIRHUMATISMAUX
M02;TOPIQUES POUR DOULEURS ARTICULAIRES OU MUSCULAIRES
M03;MYORELAXANTS
M04;ANTIGOUTTEUX
M05;MEDICAMENTS POUR LE TRAITEMENT DES DESORDRES OSSEUX
M09;AUTRES MEDICAMENTS DES DESORDRES MUSCULOSQUELETTIQUES
N01;ANESTHESIQUES
N02;ANALGESIQUES
N03;ANTIEPILEPTIQUES
N04;ANTIPARKINSONIENS
N05;PSYCHOLEPTIQUES
N06;PSYCHOANALEPTIQUES
N07;AUTRES MEDICAMENTS DU SYSTEME NERVEUX
P01;ANTIPROTOZOAIRES
P02;ANTHELMINTHIQUES
P03;ANTIPARASITAIRES EXTERNES, INCLUANT SCABICIDES,INSECTICIDES ET REPULSIFS
R01;PREPARATIONS NASALES
R02;PREPARATIONS POUR LA GORGE
R03;MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES
R05;MEDICAMENTS DU RHUME ET DE LA TOUX
R06;ANTIHISTAMINIQUES A USAGE SYSTEMIQUE
R07;AUTRES MEDICAMENTS DE L'APPAREIL RESPIRATOIRE
S01;MEDICAMENTS OPHTALMOLOGIQUES
S02;MEDICAMENTS OTOLOGIQUES
V01;ALLERGENES
V03;TOUS AUTRES MEDICAMENTS
V04;MEDICAMENTS POUR DIAGNOSTIC
V06;NUTRIMENTS
V07;TOUS AUTRES PRODUITS NON THERAPEUTIQUES
V08;PRODUITS DE CONTRASTE
