ATC3;Libellé ATC3
A01A;PREPARATIONS STOMATOLOGIQUES 
A02A;ANTIACIDES 
A02B;MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)
A02X;AUTRES MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE 
A03A;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS INTESTINAUX 
A03B;BELLADONE ET DERIVES 
A03C;ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES 
A03D;ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES 
A03E;ANTISPASMODIQUES ET ANTICHOLINERGIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS
A03F;STIMULANTS DE LA MOTRICITE INTESTINALE 
A04A;ANTIEMETIQUES ET ANTINAUSEEUX 
A05A;THERAPEUTIQUE BILIAIRE 
A05B;THERAPEUTIQUE HEPATIQUE, LIPOTROPIQUES 
A05C;MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION
A06A;LAXATIFS 
A07A;ANTIINFECTIEUX INTESTINAUX 
A07B;ADSORBANTS INTESTINAUX 
A07C;ELECTROLYTES ET HYDRATES DE CARBONE 
A07D;RALENTISSEURS DE LA MOTRICITE INTESTINALE 
A07E;ANTIINFLAMMATOIRES INTESTINAUX 
A07F;MICROORGANISMES ANTIDIARRHEIQUES 
A07X;AUTRES ANTIDIARRHEIQUES 
A08A;PREPARATIONS CONTRE L'OBESITE, PRODUITS DE REGIME EXCLUS 
A09A;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES 
A10A;INSULINES ET ANALOGUES 
A10B;MEDICAMENTS HYPOGLYCEMIANTS, INSULINES EXCLUSES 
A10X;AUTRES MEDICAMENTS DU DIABETE 
A11A;POLYVITAMINES EN ASSOCIATION 
A11B;POLYVITAMINES NON ASSOCIEES 
A11C;VITAMINES A ET D, ASSOCIATIONS DES DEUX INCLUSES 
A11D;VITAMINE B1 NON ASSOCIEE ET EN ASSOCIATION AVEC VITAMINES B6 ET B12 
A11E;COMPLEXE VITAMINIQUE B, ASSOCIATIONS INCLUSES 
A11G;ACIDE ASCORBIQUE (VIT C), ASSOCIATIONS INCLUSES 
A11H;AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES 
A11J;AUTRES MEDICAMENTS VITAMINIQUES, ASSOCIATIONS 
A12A;CALCIUM 
A12B;POTASSIUM 
A12C;AUTRES SUPPLEMENTS MINERAUX 
A13A;TONIQUES 
A14A;STEROIDES ANABOLISANTS 
A14B;AUTRES ANABOLISANTS 
A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME 
B01A;ANTITHROMBOTIQUES 
B02A;ANTIFIBRINOLYTIQUES 
B02B;VITAMINE K ET AUTRES HEMOSTATIQUES 
B03A;PREPARATIONS MARTIALES 
B03B;VITAMINE B12 ET ACIDE FOLIQUE 
B03X;AUTRES PREPARATIONS ANTIANEMIQUES 
B05A;SANG ET DERIVES 
B05B;SOLUTIONS INTRAVEINEUSES 
B05C;SOLUTIONS D'IRRIGATION 
B05D;SOLUTIONS POUR DIALYSE PERITONEALE 
B05X;ADDITIFS POUR SOLUTIONS INTRAVEINEUSES 
B05Z;SOLUTIONS POUR HEMODIALYSE ET HEMOFILTRATION 
B06A;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE 
C01A;GLUCOSIDES CARDIOTONIQUES 
C01B;ANTIARYTHMIQUES, CLASSE I ET III 
C01C;STIMULANTS CARDIAQUES, GLUCOSIDES CARDIOTONIQUES EXCLUS 
C01D;VASODILATATEURS EN CARDIOLOGIE 
C01E;AUTRES MEDICAMENTS EN CARDIOLOGIE 
C02A;ADRENOLYTIQUES A ACTION CENTRALE 
