GEN_NUM;Libellé Numéro Groupe Générique
1;ACEBUTOLOL EQ 200MG CPR PELLIC
2;ACEBUTOLOL EQ 400MG CPR PELLIC
3;ACICLOVIR 200MG CPR
4;ACICLOVIR 800MG CPR
5;ACIDE TIAPROFENIQUE 100MG CPR SECAB
6;ACIDE TRANEXAMIQUE 1G SOL BUV
7;ACIDE TRANEXAMIQUE 500MG CPR PELLIC
8;ALLOPURINOL 100MG CPR
9;ALLOPURINOL 200MG CPR
10;ALLOPURINOL 300MG CPR
11;ALPRAZOLAM 0,25MG CPR SECAB
12;ALPRAZOLAM 0,50MG CPR SECAB
13;AMBROXOL 30MG CPR SECAB
14;AMIODARONE 200MG CPR SECAB
15;AMOXICILLINE 125MG/5ML PDR PR SIR - CLAMOXYL
16;AMOXICILLINE 250MG/5ML PDR PR SIR - CLAMOXYL
17;AMOXICILLINE 500MG/5ML PDR PR SIR - CLAMOXYL
18;AMOXICILLINE 1G PDR PR SUSP BUV, SACH - CLAMOXYL
19;AMOXICILLINE 500MG GELU - CLAMOXYL
20;AMOXICILLINE 1G CPR DISP - CLAMOXYL
21;AMOXICILLINE 125MG/5ML PDR PR SIR - HICONCIL
22;AMOXICILLINE 250MG/5ML PDR PR SIR - HICONCIL
23;AMOXICILLINE 500MG/5ML PDR PR SIR - HICONCIL
24;AMOXICILLINE 500MG GELU - HICONCIL
26;AMOXICILLINE SODIQUE EQ 1G PDR+SOL PR PREP INJ IM
28;ATENOLOL 50MG CPR PELLIC SECAB
29;ATENOLOL 100MG CPR PELLIC SECAB
30;BACLOFENE 10MG CPR SECAB
31;BETAHISTINE 8MG CPR
32;BROMAZEPAM 6MG CPR 4-SECAB
33;BROMOCRIPTINE MESILATE EQ 2,5MG CPR SEC INHI LACT
34;BROMOCRIPTINE MESILATE EQ 2,5MG CPR SECAB
35;BROMOCRIPTINE MESILATE EQ 5MG GELU
36;BROMOCRIPTINE MESILATE EQ 10MG GELU
37;BUSPIRONE 10MG CPR SECAB
38;CALCITONINE SALMINE SYNTHETIQUE 50UI/1ML SOL INJ
39;CALCITONINE SALMINE SYNTHETIQUE 80UI/0,8ML SOL INJ
40;CARBOCISTEINE 2% ENF NOUR SIR
41;CARBOCISTEINE 5% AD SIR
42;CEFADROXIL 125MG/5ML PDR PR SUSP BUV
43;CEFADROXIL 250MG/5ML PDR PR SUSP BUV
44;CEFADROXIL 500MG/5ML PDR PR SUSP BUV
45;CEFADROXIL 500MG GELU
46;CEFALEXINE 250MG GRANULô SACH - CEPOREXINE
50;CEFALEXINE 500MG CPR PELLIC
51;CEFALEXINE 1G CPR PELLIC
53;CEFRADINE 500MG GELU
54;CIMETIDINE 200MG CPR PELLIC
55;CIMETIDINE 200MG CPR EFFV
56;CIMETIDINE 400MG CPR PELLIC
57;CIMETIDINE 800MG CPR PELLIC SECAB
59;CLOMIPRAMINE 10MG CPR ENROB
60;CLOMIPRAMINE 25MG CPR ENROB
62;CROMOGLICATE DE SODIUM 100MG/5ML SOL BUV AMP
63;CYCLANDELATE 400MG GELU
64;DEXTROPROPOXYPHENE CHL 30MG+PARACETAMOL 400MG GELU
65;DIAZEPAM 2MG CPR SECAB
66;DIAZEPAM 5MG CPR SECAB
67;DIAZEPAM 10MG CPR SECAB
68;DICLOFENAC SODIQUE 25MG CPR ENROB GASTRORES
69;DICLOFENAC SODIQUE 50MG CPR ENROB GASTRORES
70;DICLOFENAC SODIQUE 100MG CPR ENROB LP
71;DICLOFENAC SODIQUE 25MG SUPPO
72;DICLOFENAC SODIQUE 100MG SUPPO
73;DICLOFENAC SODIQUE 75MG/3ML SOL INJ
74;DIHYDROERGOTAMINE MESILATE 2MG/ML SOL BUV GTT
75;DIHYDROERGOTAMINE MESILATE 3MG CPR
78;DILTIAZEM 60MG CPR - TILDIEM
79;DILTIAZEM 90MG GELU LP - DIACOR
80;DILTIAZEM 120MG GELU LP - DIACOR
81;DILTIAZEM 300MG GELU LP - DILRENE
82;DIOSMINE 300MG CPR PELLIC
83;DIOSMINE 600MG CPR PELLIC
84;DIPYRIDAMOLE 75MG CPR ENROB
85;DISOPYRAMIDE 100MG GELU
86;DOXYCYCLINE 100MG CPR SECAB
87;DOXYCYCLINE EQ 100MG GELU
88;ECONAZOLE 1% CREME
89;ECONAZOLE 1% EMUL FLUIDE PR APPLIC LOC
90;ECONAZOLE 1% PDR PR APPLIC LOC FL PDREUR
91;ECONAZOLE 1% SOL PR APPLIC LOC FL PULV
92;ERYTHROMYCINE ETHYLSUCCINATE EQ 250MG GRAN SACH
93;ERYTHROMYCINE ETHYLSUCCINATE EQ 500MG GRAN SACH
94;ERYTHROMYCINE ETHYLSUCCINATE EQ 1000MG GRAN SACH
95;ERYTHROMYCINE PROPIONATE EQ 500MG CPR
96;FENOFIBRATE 100MG GELU - FENOX
97;FENOFIBRATE 300MG GELU - FENOX
99;FLUTAMIDE 250MG CPR
100;FUROSEMIDE 20MG CPR
101;FUROSEMIDE 40MG CPR SECAB
102;FUROSEMIDE 20MG/2ML SOL INJ AMP
103;IBUPROFENE 200MG CPR ENROB - NUREFLEX
104;IBUPROFENE 400MG CPR ENROB - BRUFEN
105;INDAPAMIDE 2,5MG CPR PELLIC
107;INDOMETACINE 50MG SUPPO
108;INDOMETACINE 100MG SUPPO
111;ISOSORBIDE DINITRATE 20MG CPR LP - RISORDAN
112;ISOSORBIDE DINITRATE 40MG CPR LP - RISORDAN
114;ISOSORBIDE DINITRATE 20MG CPR LP - LANGORAN
